Sem localidade
BOMBEIRO CIVIL PLANTÃO ED SEDE CPP DIREX SOBRELOJA
SALA DA CHEFIA
CONTRAÇÃO ABIS
CGPRE/DICOR/PF - SETOR POLICIAL SUL
ASSESSORIA DA INTERPOL
BENS NÃO LOCALIDADOS
CGPRE DSG - BENS A DISTRIBUIR
ARQUIVO/SELOG
CASA DE TESTEMUNHAS 03
ALMOXARIFADO TERCEIRIZADA
RECEPÇÃO SETRAN
SECRETARIA GABINETE
BASE GINQ
COPA 3° ANDAR
PLANTÃO D HANGAR
DIVISÃO DE  DIREITOS HUMANOS
RECEBIMENTO
CHEFIA
BENS A RECOLHER CAOP
COPA 
CGPI/DIREX/DPF
GABINETE DO INI
SALA D-1304 ED. MULTICORPORATE
SALA 09 CGAD SPS - GAB/SETRAN/DIFRO
CARREGADORES AED
905 SEDE - SALA VIGILANTES
DIV DE  DIREITOS HUMANOS
SALA C-503 ED. MULTICORPORATE
SALA 06 - CHEFIA
SALA C-511 ED. MULTICORPORATE
PLANTÃO/DSG
DEPÓSITO I 2º SUBSOLO
REFEITORIO CONTROLE DAS COPAS
DGP - RECOLHIMENTO SEDE ANTIGA
COT 
ESTANDE DE TIRO EXTERNO
ALMOXARIFADO
MALOTE 1º SUBSOLO
SALA 09 EQUIP. POLICIAIS
SALA BT-15 ED. MULTICORPORATE - PLANTAO
AREA DE LAZER
CORREDOR/DICOR 7º ANDAR
MICROFILMAGEM - SARQ
DICOR - RECOLHIMENTO SEDE ANTIGA -
SALA BT-06 ED. MULTICORPORATE - GUIA DE OFÍCIO
PLANTÃO DO ED. SEDE
SERVIDORES GERAL
CHEFIA DSG
SALA B-1204 ED. MULTICORPORATE
AUDITÓRIO DA SELOG
SALA C-111 ED. MULTICORPORATE
AUDITÓRIO ALCIONI SERAFIM
SALA DE PROJETOS
SALA D-705 ED. MULTICORPORATE
SALA 804 SECRETARIA/DPAS
SALA 10 - SALA DE AULA
SALA DOS CARREGADORES
VISTORIA VEICULAR
SALA DA ARQUIVO
RECOLHIMENTO SEDE ANTIGA - CGPRE/DICOR 
MARCENARIA/AED 1º SUBSOLO
COFRE 2 SUBSOLO
DIV DE DIREITOS HUMANOS
MENSAGEIROS
COFRE DO SETOR DE PATRIMONIO
CASA DE TESTEMUNHAS 01
GABINETE DA INTERPOL
SALA 01 DEPOSITO/MCRFILMAGEM/SPS
SECRETARIA DO GABINETE
SALA 03 - DPMO
SALA 10 CONSULTORIO 02 SIMED
SALA 12 - SES
SERVIDORES GERAL 
SALA DOS VIGILANTES/AED 2º SUBSOLO
COPA DO 8º ANDAR
SOBRELOJA
SAP/DAPEX 1º ANDAR
PLANTÃO DA CGPI
SALA D-1107 ED. MULTICORPORATE
SECRETARIA/SELOG
UNIDADE II
SETOR DE ANALISE
CONSULTÓRIO 03
SALA 13 - SES
SALA 17 - DPMO
CHEFIA SIMED
SALA D-1302 ED. MULTICORPORATE
CHEFIA DA SPDE/DSDE
SALA D-402 ED. MULTICORPORATE
ASSESSORIA DE IMPRENSA
CASA DE TIRO
SALA 20.3 - ALMOXARIFADO
SALA D-1114 ED. MULTICORPORATE
CHEFIA I
RECOLHIMENTO SEDE ANTIGA - DIREX
DICRE/CGPI/DIREX/DPF
PROCESSAMENTO IV
SALA 7A - HANGAR DA CAOP
CORREDOR DA CGDI
DEPÓSITO DCPQ - DSG
C-407 ED. MULTICORPORATE
PLANTÃO DO SETRAN
ANEXO III - DEPOSITO - TECNICAS VERTICAIS
ANEXO III - EQUIPE C
ANTIGA ACADEMIA E CORREDOR
MECÂNICOS EMBRAER
SAD/DIREX/PF
SALA 02 - DEPÓSITO - SPO
ARQUIVO UELP DCPQ
PLANTAO ANTIGO
EXPLOSIVO
SALA C-100 ED. MULTICORPORATE - COPAS
SASP - SERVIÇO DE APOIO A SEGURANÇA DO PR EM - SÃO PAULO
SETOR DE ANÁLISE DOCUMENTAL
OPERAÇÕES
PLANTÃO OPERATIVO
BENS ACAUTELADOS HANGAR
CHEFE SDPI
SALA 14 - SISVIA/SETRAN
SALA DE MUNIÇÃO
COPA DO 3º ANDAR
SALA
REGISTRO E PORTE DE ARMAS
SALA 26 ALOJAMENTO
ARMAMENTO
SALA D-906 ED. MULTICORPORATE
LASER
HANGAR PATIO EXT. SL-44 AERONAVES
SECRETARIA SEAPRO
COPA DO GABINETE DA DIRETORIA GERAL
SALA TREINO
SEGUNDO SUBSOLO
ÁREA DE SERVIÇO
SALA SB-6 ED. MULTICORPORATE - DEPOSITO
FABRICA/CONFECÇÃO(1 SUBSOLO)
BASE RR
SALA D-1003 ED. MULTICORPORATE
STAND COBERTO
SALA BT-03 ED. MULTICORPORATE - MALOTE
SNIPERS
CORREDOR - SES
ULOG - SALA 26 - TI - SPO
SALA B-104 ED. MULTICORPORATE
TORRE DE RAPEL
SALA B-301 ED. MULTICORPORATE
ULOG - RECOLHIMENTO 2024
AUDITÓRIO DAT
ULOG - SALA 00 - RECEPÇÃO - SPO
ALOJAMENTO
SALA - 08 - DEPOSITO ANTIGO
ULOG - SALA 03 - REUNIÃO - SPO
SALA - 32 - LABORATÓRIO
SAP
SALA B -119 ED. MULTICORPORATE
ULOG - REFEITORIO E COPA - SPO
HANGAR ÁREA EXT. SL-42 GUARITA
 SALA 11 SUBSOLO SEDE - SALA 11 MOTORISTAS SUBSOL
CHEFIA DO SAIN
VESTIARIO ANTIGO
SALA 14 - LIMPEZA
 (13.91.998 )FAVELA - SALA DE CHEFIA - COT/DIREX/PF (1391) 
CINTEPOL
SALA D-511 ED. MULTICORPORATE
SALA C-604 ED. MULTICORPORATE
DESFAZIMENTO 2023 - SEDE ANTIGA E DEPOSITOS NO SPO
SALA DA AZUL
BASE AM
SECRETARIA - CAOP
SALA B-311 ED. MULTICORPORATE
SALA B-119 ED. MULTICORPORATE
SALA DOS MOTORISTAS DA SELOG
CORREDOR COREC
CHEFE DO GABINETE DA DIRETORIA GERAL
SALA DE OPERAÇÕES
SALA C-320 ED. MULTICORPORATE
SALA BASE RIO DE JANEIRO
SALA 20.1 ALMOXARIFADO I
INSTRUÇÃO
SPAC 1º SUBSOLO
DEPOSITO DICOR
TELEMÁTICA
SALA 31 - GARAGEM VEÍCULOS DIVERSOS
SECRETÁRIA ADMINISTRATIVA TÉRREO
GABINETE DO DIRETOR
GABINETE COAIN
GABINETE DA COF
CONSULTÓRIO 01
SES-SEC
DEPÓSITO/SELOG
CASA DE TESTEMUNHAS 05
COPA SOAR
GUARITA - CAOP
DEPÓSITO DE MATERIAL DE LIMPEZA
DEPOSITO SEAL - BENS A DISTRIBUIR
SALA 10 - SES
SECRETARIA DSG
CHEFIA DIFRO
SALA 12 - DPMO
CGPLAM - RECOLHIMENTO SEDE ANTIGA
BENS A RECOLHER DINPE
ASSESSORIA PARLAMENTAR
SERVIÇO DE ASSITÊNCIA E BENEFÍCIOS
TORRE DE RAPEL E CASA DE TIROS
SERVIÇO DE ESTRATÉGIO TÁTICA
ATENDIMENTO PLANTÃO
SALA 117 - BENS DE TI - RECOLHIMENTO
ESPAÇO CGPRE I
SALA 08 - SES
ANALISE
PSICOLOGIA
CASA 4 - SPHE
RECEPÇÃO GAB/CGPRE (BENS NÃO LOCALIZADOS)
COPA DA CGDI
SALA DOS ADESTRADORES
SATE/DCOR
GCO - DICOR/PF
DEPÓSITO/SEDE
SALA 15 - SES
VETERINÁRIA
CGCI
CHEFIA INTERPOL
ARIN
ANALISE SALA 716
SCBA - DIREN/CGPRE
APOIO DPREV
CONPORTOS SAD/DIREX
SALA 21
SALA 16
RECEPÇÃO - DPMO
SALA 04 - DPMO
SEC. ADMINISTRATIVA/PROTOCOLO CGPRE
CHEFIA DPAS
- SOBRELOJA - SEDE -
SALA 02 CGAD SPS - GAB/SARQ
MANUTENÇÃO/SELOG
CHEFIA DPI
COPA/SELOG
DIVISÃO  DE DIREITOS HUMANOS
GABINETE CPLAM
SALA 822 DPREC
DPSP 1º ANDAR
CGGC/PF-RECOLHIMENTO SEDE ANTIGA
CGE - RECOLHIMENTO SEDE ANTIGA
SALA D-608 ED. MULTICORPORATE
GECAP/DIREX
SECRETARIA DA DASP
SUBSOLO - DRM/CGPI
COMUNICAÇÕES
COPA SES/CRH
SALA DE INCLUSÃO - SERA - TERREO
SERVIÇO DE COMPRAS
GAB/CGCSP
SALA 01 SOBRELOJA SAD/SENARM
SALA DO PATRIMÔNIO
RECEPÇÃO
SALA 811-SECRETARIA-DCIM
GABINETE DA CGPRE
SECRETARIA DDH
ADIDÂNCIA ARGENTINA
ADIDÂNCIA DE POLÍCIA FEDERAL NA COLOMBIA
ADIDÂNCIA DE POLÍCIA FEDERAL NA COLÔMBIA
ADIDÂNCIA COLÔMBIA
SECRETARIA ADMINISTRATIVA
DISTRIBUIÇÃO DE DOCUMENTOS
CHEFE ARIN/INTERPOL
UNIDADE III
DIP - RECOLHIMENTO SEDE ANTIGA -.1335-SEDE
PROTOCOLO/INI
SALA 11B - SUPRIMENTO
ALMOXARIFADO DO SEGRAF
RECEPÇAO CGAD SPS 1ºANDAR
CHEFIA DO SEGRAF
SALA 02 - DPMO
ADMINISTRAÇÃO-CAOP
ADIDÂNCIA DE POLÍCIA FEDERAL NO PARAGUAI
ADIDÂNCIA PARAGUAI
OFICIALATO SENAD PARAGUAI
ADIDANCIA PARAGUAI
ADIDÂNCIA DE POLÍCIA FEDERAL NA ARGENTINA
CHEFIA DO SADIP
HANGAR SALA 08 AEROTAT
SALA BASE SÃO PAULO
PATRIMÔNIO
HANGAR SALA 16 PLANEJ. OPERACIONAL
SECRETARIA CGPI
COPA DA DICOR
DEPÓSITO DE LIMPEZA
BENS NÃO LOCALIZADOS - DCPQ
SALA C-114 ED. MULTICORPORATE
RECRUTAMENTO CGPRE
GINQ/DICOR - SECRETARIA
HANGAR SALA 27 PR-DPF
SALA 120 - SEPAT/DMAT/COAD/DLOG/PF
HANGAR SALA 28 BRIEFING
ÁREAS EXTERNAS/ CORREDORES
HANGAR AREA EXT. SL-41 DEPOSITO III
SALA 09
SALA D-814 ED. MULTICORPORATE
HANGAR SALA 22 PR/DPF EMBRAER 145
MANUTENÇÃO HELICOPTEROS
SALA B - 1209
SALA C-501 ED. MULTICORPORATE - RECEPÇÃO
SALA DASPAR
SALA 09 - DPMO
CEFIS/NUCOP
COPA DA DLOG
SALA 1037 SEDE
SALA 805 SINPA/SIGAI/DPAS
SALA B-112 ED. MULTICORPORATE
SALA 106 - SECRETARIA ADMINISTRATIVA
SALA C-418 ED. MULTICORPORATE
SALA 431 SECRETARIA
ASSESSORIA DICOR
SALA D-815 ED. MULTICORPORATE
SALA 05 CNV/DICOF
INTERPOL
CHEFIA SINIC
SALA B-406 ED. MULTICORPORATE
SPAC COFRE
ASSESSOR ESPECIAL
SALA APOIO LIMPEZA-EXTERNO
DEPÓSITO 01 - SEDE - 6º SUBSOLO
COPA SETRAN
SALA D-1208 ED. MULTICORPORATE
SALA D-1205 ED. MULTICORPORATE
SERVIÇO DE APOSENTADORIAS E PENSÕES - 301
SALA 101 - ACADEMIA
SALA D-515 ED. MULTICORPORATE
GINQ/CGCOR
LABORATÓRIO DE INFORMÁTICA
SALA D-1215 ED. MULTICORPORATE
CORREDOR DSG
SALA D-1106 ED. MULTICORPORATE
RECOLHIMENTO SEDE ANTIGA - CGOF E UNIDADES VINCULADAS
DCIM - CHEFIA
SADIP/CGPFAZ
SALA 15 SADIP/CGPI
SECRETARIA
SALA 801 ATENDIMENTO/DPAS 
CGPRE BENS A RECOLHER
PLANTÃO
DEPOSITO - CGPRE
RECOLHIMENTO SEDE ANTIGA - DLOG
SECRETARIA ADMINISTRATIVA SPDE
DEPÓSITO 5° SUBSOLO
PLANTÃO (DPI)
SERVIÇO DE IDENTIFICAÇÃO PAPILOSCÓPICA
COPA ALA NORTE SEAPRO
GABINETE DO DIREX
DEPÓSITO II 2º SUBSOLO
DIP
SALA 803 SECRETARIA/DPAS
SADIP SW 3
DELEGADOS
SALA C-308 ED. MULTICORPORATE
SALA D-914 ED. MULTICORPORATE
SALA B-1303 ED. MULTICORPORATE
SALA C-506 ED. MULTICORPORATE
SALA B-206 ED. MULTICORPORATE
CHEFIA DA DPAG
CONSULTORIA CPLAM
COORD. DE ASSUNTOS INTERNOS II
SECRETARIA DO GABINETE DA DIRETORIA GERAL
BENS NÃO LOCALIZADOS SEAP/DRH
LOGÍSTICA 
GABINETE CRH
SERVIDORES GERAL I
INF
PROTOCOLO DA SECRETARIA CGDI
-CAOP
SALA C-312 ED. MULTICORPORATE
CASA 3 - SPHE
SALA D-808 ED. MULTICORPORATE
SALA 23 - MANUTENÇÃO AVIOES E HELICOPTEROS
SALA 07 - DPMO
SALA 126 - DEP. SEDE
HALL DO CORREDOR
SALA DE CONVIVENCIA - CGPI
SALA 14 - SOAR
CORREDOR 2º ANDAR 
COPA 2º ANDAR 
BENS ACAUTELADOS
SALA 908
DIP 3
SERVIDORES GERAL II
DPAG
FOLHA DE PAGAMENTO
CHEFE SUBSTITUTO ARIN/INTERPOL
SALA D-717 ED. MULTICORPORATE
NGE
SASP - SERVIÇO DE APOIO A SEGURANÇA DO PR EM - BRASILIA
DEPOSITO DE MATERIAL
CII - SADIP/CGPRE
GINQ-SETOR DE ANÁLISE
LOGÍSTICA -DIREN/CGPRE
GDTA-DIREN
GABINETE DA COGER
SADIP/CGPFAZ II
SEMEX
GAGEO- GRUPO DE ANÁLISE E INTELIGÊNCIA GEOESPACIAL
SALA DO MALOTE 
DIRETORIA DE COMBATE AO CRIME ORGANIZADO
SECRETARIA DA DIFRO
LOGISTICA TÉRREO 
SERVIÇO DE APOIO ADMINISTRATIVO
SECRETARIA  COORDENAÇÃO DIP
LOGÍSTICA 1º PISO
SALA 45 - PLANTÃO
ASSESSORIA
PSICOSSOCIAL
DELP/CRH
GABINETE SPHE
CNL- COMISSÃO NACIONAL DE LEILÃO
ADMINISTRAÇÃO GERAL
SUPORTE E-POL
TRANSPORTE
SALA D-921 ED. MULTICORPORATE
SALA B-607 ED. MULTICORPORATE
PROCESSAMENTO III
- 1ª ANDAR-SEDE -
COPA DO SERA
SALA C-317 ED. MULTICORPORATE
SALA C - 102 ED MULTICORPORATE
PROJETO SALA COMANDO E CONTROLE
NÚCLEO DE DIÁRIAS E PASSAGENS
RECOLHIMENTO TIC - GARAGEM
SALA 02 SOBRE LOJA CHEFIA SENARM
SETOR DE APOIO ADMINISTRATIVO - COAD
CAT GABINETE
CHEFIA DA ASSESSORIA JURÍDICA
BOX 6 (ACADEMIA)
LOGÍSTICA
SALA CHEFE
SECRETARIA/DMAPH
CHEFIA/DICINT
SALA D-207
BENS NÃO LOCALIZADOS DLOG
SALA C-515 ED. MULTICORPORATE
SALA D-513 ED. MULTICORPORATE
SECRETARIA ADMINISTRATIVA - DIP
INEXISTENTE
SALA D-614 ED. MULTICORPORATE
RECEPÇÃO COGER
MANUTENÇÃO
TRIAGEM E EXPEDIÇÃO
SECRETARIA/ACI/GAB
DESATIVADO 22
URCE
CEDOC  - ARQUIVO PERMANENTE
AGU CAT
SALA 14
SETOR ADMINISTRATIVO - SARQ
SECC - DICON
LOGISTICA/DMAT/COAD 
EXPEDIÇÃO DO SERA
SOBRELOJA - BRIGADISTAS - SEDE
SALA 10 - COMBUSTIVEL
DASPAR/PF
ASSISTENTE 2
SALA REUNIÃO DIREX
DEPOSITO ANTIGA DINPE
INFORMÁTICA 2º PISO
CHEFIA DE OPERAÇÕES
SALA 09 SW SECRETARIA 2º ANDAR
SALA DE TV
SALA 05 - DPMO
SALA 813 -SECRETARIA
SALA D-216 ED. MULTICORPORATE
RECEPÇÃO DA DCPQ
SECONTRE/COF/DLOG
INFORMÁTICA
CHEFIA DPAT
ADIDÂNCIA BOLÍVIA
510 SEDE - CARREGADORES AED
SALA C-105 ED. MULTICORPORATE
COPA DA COMUNICAÇÃO SOCIAL
ASSISTÊNCIA-COF
SECONT/COF/DLOG
SEPROFIN/COF/DLOG
SALA C-402 ED. MULTICORPORATE
SEDESP/COF/DLOG
SEPROG/COF/DLOG
APOIO
RECEPÇÃO DA COF
CARTORIO COAIN
OFICIALATO PNP PARAGUAI
SAD SGP
CONTEINER 02
ANEXO III - EQUIPE B
SALA 03 - ANEXO II - OFICINA DE MERGULHO
CONTEINER 2
EMBARCAÇÕES
SALA DOS INSTRUTORES/SECAN
LAVANDERIA
SALA CHEFIA
TREINAMENTO
SALA 427-B COAIN/COGER
ASSISTENTE COGER
AUDITORIO
SALA D-509 ED. MULTICORPORATE
APOIO ADM/DCPQ
DEA 
SALA DOS MOTORISTAS TERCEIRIZADOS
SALA DE IMPRENSA DA COMUNICAÇÃO SOCIAL
CHEFE DEOF
CAPACITAÇÃO I
SALA EQUIPE OPERACIONAL I
SALA 04
SALA 713 DELEGADOS
APOIO DA DFIN
BENS NÃO ACAUTELADOS
ANÁLISE
RECEPÇÃO INI
DPC/CPLAM
GABINETE DA CGPFAZ
SAL DE REUNIÕES DA COGER
CHEFIA DICOJI
SALA 11 - LOGISTICA
LOTE DIVERSOS LEILAO 2018
BASE PA
ABASTECIMENTO
AUDITÓRIO DA COAD
SALA XXX
SECRETARIA DPAT
PROAD/NUCOP
SALA B-1000 ED. MULTICORPORATE - COPAS
REFEITÓRIO SOBRELOJA/DMAT
SALA 14 CGAD SPS -GAB/DIFRO
BASESBN
BASE SANTOS SINPQ
ARQUIVO COMEX - DSG
ALOJAMENTO I
HANGAR SALA 23 SALA DOS PILOTOS
SUBSTITUTO
CASA 2 - SPHE
SALA B-1210 ED. MULTICORPORATE
SALA B-914 ED. MULTICORPORATE
ENCARREGADO MANUTENÇÃO
RECEPÇÃO DO GABINETE DA DIRETORIA GERAL
SALA 03 - SOCORRISMO
DEPÓSITO CGCSP - DSG
ASSISTENTE DA CHEFIA DO GABINETE
GEOINT
SALA 05 - DOCUMENTAÇÃO
AUDIO VISUAL
GABINETE CGPI
SALA DESCANSO NA DSG
COPA COGER 4 ANDAR
SALA D-211
SUPRIMENTO
COZINHA DO PLANTÃO
COPA DO SAIN
SAD
SALA D-512 ED. MULTICORPORATE
SALA B-717 ED. MULTICORPORATE
ARQUIVO GERAL 
MATERIAL/DEPÓSITO
SETOR DE PREPRESSÃO AOS DESVIOS DE PROD. QUIMICOS
ANÁLISE DSDE DIREX
CHEFIA 
ARQ. DSG - MAPAS
SELP/DARM
SALA 707 SECRETARIA
SALA 809 DPAS/CGPI
SALA SEGURANÇA GAB-PF
SALA 16 - SEGURANÇA DE VÔO
SALA 821 CHEFE SUBSTITUTO
SALA DE REUNIÕES
RECEPÇÃO DA COMUNICAÇÃO SOCIAL
FAVELA - ÁREA EXTERNA/ OFICINA
RECEPÇÃO DLOG
GABINETE DLOG
URCP
BANHEIRO FEMININO
SALA 18 - COPA
SALA 15 - SMAN
GABINETE DIP
DEA/CPLAM
PLANEJAMENTO OPERAC. HELICOPTEROS
CORREDOR 3º ANDAR CRH
ASSESSORIA_APOIO - DIP
CHEFIA CGE DIREX
SALA 13 - COORDENAÇÃO
COMBUSTÍVEL E ESTATÍSTICA - CAOP
BENS PARA DOAÇÃO 2021
SALA C-510/511 ED. MULTICORPORATE
HANGAR AREA EXT. SL-39 DEPOSITO I
ANTESSALA DO GABINETE
SALA 806 CHEFIA/DPAS
ASSESSORIA 1 DO GAB/CGDI
TORRE
STAND EXTERNO
COPA DO 1º ANDAR
SUPRIMENTOS DE AERONAVES
CCASP 1º ANDAR
DICOF
SALA 718 CGRC DICOR
SALA D-908 ED. MULTICORPORATE
DARM NUDOC 03
HANGAR SUBSOLO DEPOSITO DIESEL
RECEPÇÃO DO TÉRREO 
PLANTÃO - CGI
BASE NAVIO FLORESTA PE
BASE ALCANTARA MA
DEPÓSITO MATERIAL
SALA - 33 - SALA DE TRABALHO
SECRETARIA DO GABINETE/INI
ASSESSORIA INI
AREA DE DESENVOLV ADID/SAOP CHEFIA
SEPEX
CHEFIA SEDIS
DEPOSITO SAD COGER
SEDE
ALMOXARIFADO COT
SALA B-400 ED. MULTICORPORATE - COPAS
DEPOSITO DA DSG (OFICINA)
DIP III
GINQ/ CGCOR
CEDOC
CAPACITAÇÃO II
SAOP
CHEFE/SAER/CGPI
CHEFIA SUBSTITUTA
ASSISTENTE DIREX
SNIPER ANTIGO
SALA 72 - BIBLIOTECA
ANEXO II - EQUIPE A
RECULHAMBA.SNIPER ANTIGO
SALA 86 - ATIRADORES DE PRECISÃO
ACADEMIA CROSSFIT
SALA 92 - EQUIPES TÁTICAS - SALA DOS OPERADORES
SALA 08
SALA 17
COMBUSTÍVEL E ESTATÍSTICA -CAOP
MANUTENÇÃO AVIÕES 
SALA 27 - INSTRUÇÃO
SEC/APOIO
SEPAT BENS A DISTRIBUIR
DASP/CGDI
SADIP CCO
COMUNICACAO SOCIAL - AQUARIO - TERREO
SALA D-911 ED. MULTICORPORATE
GAB/SECOAD
GAB - DCPQ
CEFIS
SALA D-802 ED. MULTICORPORATE - SALA DE REUNIÃO
MAPAS/UELP
INFORMÁTICA - DCPQ
CORREDOR 1º ANDAR 
COPA TERREO CGI
CARTÓRIO
BENS A DISTRIBUIR 
ARQUIVO 01 NUCAL - DSG
DRH - AADM/DCPQ
SALA 11 CGAD SPS - SETRAN/DIFRO
RECEPÇÃO DICOR
SALA B-101 ED. MULTICORPORATE - RECEPÇÃO
SALA 03 CGAD SPS - SEAL/DMAT
SELP/COGER
SALA B-711 ED. MULTICORPORATE
SALA 17 - CONTRATOS
SECRETARIA DA COMUNICAÇÃO SOCIAL
ESTERELIZAÇÃO SIMED
SECRETARIA DO SETRAF
GABINETE DO COORDENADOR GERAL
SALA D-912 ED. MULTICORPORATE
MARCENARIA_
DEPOSITO DSG
CNL - DEPÓSITO
SALA 08 CGAD SPS - REFEITORIO E COPA TERREO
CHEFE SUBST - DRM/CGPI
EXPEDIÇÃO - DRM/CGPI
ASSISTÊNCIA
SALA DA GECAP
BENS NÃO LOCALIZADOS DICOR
SERV. DE MOV. E DESIGNAÇÕES
ADVOGADOS AJ
ASSISTENTE DA DCOR
ASSESSORIA CRH
SALA DO DIRETOR GERAL
SALA DE REUNIÃO DO GAB
HANGAR SUBSOLO SALA 30 AUDITORIO
SALA 25 - TETO ZERO
SALA VIP
SADIP SW
SALA DE INSTRUÇÃO - CAOP
SEMOB
SALA 11 MOTORISTAS SUBSOLO
DELEGADOS 
ALA NORTE - DRM/CGPI
SECRETARIA CRH
HANGAR SALA 24 RECREAÇÃO
ANALISE/CONFERÊNCIA - URCC
SALA D-103 ED. MULTICORPORATE- SALA DE REUNIÃO
SALA 811 TRIAGEM/ANALISE/ARQUIVO
SINV/COAIN
-SEFIS/DEA-
SEFIS/DEOB IV
SALA 
GABINETE DA DO&M
ORÇAMENTO
ATECH
ASSESSORIA DE CONTROLE INTERNO - ACI
COPA DO SEGRAF
NÚCLEO DE OPERAÇÕES/DIREN
SALA 02 ESTANDE DE TIRO-COT
SALA 01 - DPMO
SERVIÇO FINANCEIRO
RECURSOS/DCPQ
SECRETARIA 
CARTORIO
CHEFIA DO SERA
SALA 19
SALA D - 301 RECEPÇÃO
SALA DA CHEFIA DA COMUNICAÇÃO SOCIAL
ASSESSORIA DRH
SALA D-917 ED. MULTICORPORATE
ORÇAMENTO DPP
SALA 436 - DICOJI
PROJETOS
CHEFIA DA DIVISÃO DE MATERIAL 
ADIDÂNCIA DE POLÍCIA FEDERAL NA ITÁLIA
SALA B-1301 ED. MULTICORPORATE - RECEPÇÃO
ASSESSORIA DSDE
SALA 335 SEDE
ASSES. JURÍDICA
SERVIÇO DE LOTAÇÃO E MOVIMETAÇÃO
MALOTE E GUIA DE OFICIOS
SISVANT - CGCINTEPOL
SECRETARIA DO SAIN
SECRETARIA DCS 
SECRETARIA SETRAF
ARQUIVO DA CGDI
SALA 626 NO1
SETOR DE ANALISE DE INTELIGENCIA POLICIAL
SALA C-518 ED. MULTICORPORATE
SALA 02 - ESTANDE COBERTO
CORREDOR TERREO 
SALA D-502 ED. MULTICORPORATE
