LOTE08/LEILÃO2018/AM
PER. DE QUÍMICOS/SETEC
GAB/DELEAQ C-125
*** MIGRACAO (SR/DPF/AM)-> SERAM-SERVIO REGIONAL DA AMAZNIA / TABATINGA -> C. I. P. A. M
*** MIGRACAO (SR/DPF/AM) -> NUCLEO DO DPF EM SAO GABRIEL DA CACHOEIRA
SISTEMA NACIONAL DE ARMAS
PÁTIO/LEILÃO
 (B-204 )OFICINA/SETEC - SETEC/SR/PF/AM (1531) 
SALA DE FISIOTERAPIA
*** MIGRACAO (SR/DPF/AM) -> DELEFAZ-NUCLEO DE OPERACOES
CHEFIA/UTRAN
*** MIGRACAO (SR/DPF/AM) -> SINARM-SISTEMA NACIONAL DE ARMAS
ARMAMENTO/DRE/DRCOR/AM
ALOJAMENTO/CHEFE - CIAPA
EMBARCAÇÕES - CIAPA
EQ. PROT. SEG. E SOCORRO/GAT
SALAS DE AULA EXTERNAS - CIAPA
SL. REUNIÃO/SIP
PROTOCOLO/NAD
*** MIGRACAO (SR/DPF/AM) -> DRE/NO-NUCLEO DE OPERACOES DELEGACIA REPRES. ENTORPECENTES
GP DE PERÍCIA DE INFORMATICA/SETEC
*** MIGRACAO (SR/DPF/AM) -> NUCLEO DE OPERACOES DA DELINST
*** MIGRACAO (SR/DPF/AM) -> DELEMIG-SETOR DO AEROPORTO
NUDIS/COR/AM
RECEPÇÃO/DRE
MANDADO DE PRISÃO/NO/DREX
ARMAMENTO/NODREX/DREX/AM
ARMAMENTO/SETEC/SR/PF/AM
*** MIGRACAO (SR/DPF/AM) -> CPD-COMISSÃO PERMANENTE DE DISCIPLINA
GABINETE2/DELECOR
CASA 26 - FICCO
GABINETE1/DELECOR
UADIP 1/SIP
AMBULATÓRIO/CIAPA
ALOJ. APOIO/CIAPA
ARQUIVO MORTO/NAD
ESTRATEGIA/SIP
*** MIGRACAO (SR/DPF/AM) -> RESTAURANTE
PASSAPORTE/AEROPORTO
SIP 3
SL. CONVIVÊNCIA/NPAER
ESCRITÓRIO/GAT
ESTRANGEIRO/DELEMIG
DEP2/NUCART/AM
08240.002574/2023-04 - SGC / DOAÇÃO PORONGA
SECRETARIA/DREX
08240.001222/2023-23 - RECICLA
DOSSIÊ/NUCART/AM
CASA DE MÁQUINAS/CIAPA
GAB/DMA
SECRETARIA2/SETEC
GAB/DELEPREV - C 127
AUDITÓRIO
GESCON/SELOG/SR/PF/AM
*** MIGRACAO (SR/DPF/AM) -> DRE/QUIMICOS-DELEGACIA DE REPRESSAO A ENTORPECENTES
GALPÃO 2
ALOJAMENTO-MANAUS/CIAPA
NO2/DPF/TBA/AM
LAB. DOCUMENTOSCOPIA MICROBALISTICA/SETEC
LOTE06/LEILÃO2019/AM
SALA/AEROP/TBA
*** MIGRACAO (SR/DPF/AM)-> SERAM-SERVIO REGIONAL DA AMAZNIA / TABATINGA -> BASE/IPIRANGA/AM
SERVIDOR/DRE
REFUGIO/DELEMIG
LABORATÓRIO DE GEOLOGIA
LABORATÓRIO DE INFORMÁTICA
VESTIÁRIO/UTRAN
TETRAPOL - NTI
NO/DELEPREV C -201B
PERICIA MEIO AMBIENTE/SETEC
GP DE PERÍCIAS DE ENGENHARIA
PERÍCIA DE QUÍMICA 2 - B-207
SALA DE REUNIÕES - SETEC B-213
GABINETE2/DPF/TBA/AM
(C-130) CS/SR/PF/AM
SECRETARIA/SIP
(A-211) NUCOR/COR/SR/PF/AM
SEC/COR/AM
LICITAÇÃO
C 123 DELEFAZ
GAB/COR/AM
SEC/DRCOR
SEC/NUCART/AM
APOIO GAB/SELOG/AM
SEC/GAB/PF/AM
CHEFIA/NAD
NO/DELECOR - ATUAL (UA/DELECOR)
CARTÓRIO/SIP
*** MIGRACAO (SR/DPF/AM)-> SERAM-SERVIÇO;O REGIONAL DA AMAZNIA / TABATINGA
SEC/SELOG/AM
SEC/DELEPREV
SALA DE PERÍCIA/SETEC
CARTÓRIO/COR/AM
GP CONTABEIS/SETEC
C-203
CART/DELEFAZ
POSTO DE EMISSÃO DE PASSAPORTE - PEP/PF - PQ 10
COMUNICAÇÃO SOCIAL
CARTAS PRECATORIAS/DRCOR
PTRIG - PAC COMPENSA
URE/DELEMIG
SL.BIOMETRIA DE VIGILANTES/DELEMIG
COLETA DE VOZ/SETEC
PTRIG/SEJUSC/DELEMIG
CAOP/DRCOR/SR/PF/AM
SALA DE REUNIÃO A-202
SALA DE REUNIÃO/SELOG/AM
DESCANSO/PLANTÃO/NO/DREX
LOTE21/LEILÃO2019/AM
SALA DE RECARGA - DRE/DRPJ/SR/PF/AM
GAB/DELINST
GAB/DELEFAZ
GAB-DREX A224
SIP 2
APOIO/DRPJ
GP CONTÁBEIS 2/SETEC
CASA FUNCIONAL2
PATIO INTERNO-CORREDORES
CORREDORES/SELOG/AM
AFIS/GID
NEOF
CONTEINER/GTED/SELOG
DELESP - CARTÓRIO
PRONTO EMPREGO C-111
CANIL/DRCOR/SR/PF/AM
GABINETE/DELEMIG
POSTO DE ATENDIMENTO - STUDIO 5
GABINETE/DRCOR
GAB/DRCC C-213
CORREDOR DELEFAZ
NO/DREX 3
NUCOR-A211
TRANSFERÊNCIA 01
PAIOL/GAT
ACADEMIA/MUSCULAÇÃO/DOJO
VEICULOS/DRE/DRCOR/SR/PF/AM
SEC/UTRAN
ANALISE-NO/DRE
POSTO AVANÇADO DA PF EM TEFÉ/AM - FLUTUANTE
GAB/MARCELO DIAS/DELEFAZ
GAB2/DELINST
VEICULOS/DELEMAPH/DRCOR/SR/PF/AM
(SR/DPF/AM) -> NAD-NUCLEO ADMINISTRATIVO/BENS A DISTRIBUIR
VEICULOS/DPF/TBA/AM
DELINST - CARTÓRIO 3
GAB2/DELECOR
GAB/DELEAQ
REFEITÓRIO/CIAPA
ANTIGA-IMIGRAÇÃO/DPF/TBA/AM
VEICULOS/NTI/SR/PF/AM
SITE INPA/NTI
CORREDOR/SIP
NOVA ERA
RECARGA DE CARTUCHOS/GAT
DOAÇÃO GRUPO MARTE PMAM
GAB/SELOG/AM
SITE SIPAM/NTI
SITE CIOPS/NTI
VEICULOS/CIAPA/SR/PF/AM
VEICULOS/SELOG/SR/PF/AM
GALPÃO/NUCART/AM
ANEXO
NID/DREX/SR/PF/AM
2ºPAV/GISE/DRE/AM
VEICULOS/CANIL
COPA GAB/SR/PF/AM - A231
VEICULOS/DELEMIG/SR/PF/AM
VEICULOS/FICCO
SALA DRE/AEROPORTO
SALA TÉCNICA/SERVIDORES
ALOJ-04/DPF/TBA/AM
VEICULOS/SIP/SR/PF/AM
AUDITÓRIO/NEPOM
VEICULOS/SR/PF/AM
DOAÇÃO-POLICIA CIVIL (DRCO/PC)/SR/PF/AM
EQUIP.PROTEÇÃO/GAT/DREX/AM
VEICULOS/DELESP/DREX/SR/PF/AM
FTSP/BASE MANAUS/DMA
SALA DE DESCOMPRESSÃO - NEPOM
FLAGRANTE/DRCOR/SR/PF/AM
COPA - NTI
ALMOX. APOIO2/SELOG/AM
PROTEGE/SRH/AM
VEICULOS/DELEPAT
DEPOSITO DE DROGAS/DRE
SALA TÉCNICA 3
VEICULOS/NO/DREX/SR/PF/AM
SALA TÉCNICA 2
SALA TÉCNICA/SETEC
REFEITÓRIO
ALIENAÇÃO TENDA 08240.017117/2019-20
NUDIS/COR
SEC/DELEPAT
POSTO AVANCADO DA PF EM APUÍ (MATA-MATA)
C-122 - GAB.DELEFAZ /WESLEY SIRLAM
VEICULOS/GPI/DREX
URE 2/NID - SALA A 121
GAB4/DELEFAZ SALA C130
VEICULOS/DELEPREV
VEICULOS/NEPOM/DREX/SR/PF/AM
VEICULOS/DELINST/DRCOR/SR/PF/AM
OAB
SALA DE AULA 1 - CIAPA (FECHADA)
VEICULOS/DELEFAZ
VEICULOS/DELEAQ/DREX/SR/PF/AM
VEICULOS/DELECOR/DRCOR/SR/PF/AM
VEICULOS/NID/DREX/SR/PF/AM
VEICULOS/GSD/DREX/SR/PF/AM
VEICULOS/SETEC/SR/PF/AM
VEICULOS/COR
C-203 DELECIBER
VEICULOS/DRPJ
VEICULOS/UTRAN
VEICULOS/NUMAT
ARMTO MENOS LETAL C-220
VEICULOS/DREX/SR/PF/AM
ÁREA EXTERNA - GUARITA DE VIGILÂNCIANO DREX
VEICULOS/NUCARRT/SR/PF/AM
ADRIANO SOMBRA DE PAULA
CENTRO DE COOPERAÇÃO POLICIAL INTERNACIOAL - CCPI/DAMAZ/PF
