BASE PONTES E LACERDA
DSS MANUTENÇÃO - SALA 406 B (SR NOVA)
NIP NÚCLEO DE INTELIGÊNCIA POLICIAL
CHEFIA RH
ARQUIVO NUCART
LABORATÓRIO NID 302
GID - SALA 205
LABORATÓRIO GID
NUDIS SALA 303 A (SR NOVA)
CHEFIA DELEFAZ
DEPOSITO 3
DELEGADO ( SALA 11 )- DPF/CAE/MT
UTEC - DPF/ROO/MT
CHEFIA DREX -  BENS NÃO LOCALIZADOS
ALMOXARIFADO - DPF/ROO/MT
NO DRE
SECDRCOR 814
PREFEITURA - BENS NÃO LOCALIZADOS
NO DELEFAZ - BENS NÃO LOCALIZADOS
PROTOCOLO ( SALA 05 ) BENS NÃO LOCALIZADOS DPF/CAE/MT
NÚCLEO DE OPERAÇÕES SALA 23 E 24 - BENS NÃO LOCALIZADOS - DPF/CAE/MT
DELEGADO ( SALA 12 ) BENS NÃO LOCALIZADOS DPF/CAE/MT
NTI E NUCLEO DE TECNOLOGIA (  SALA 18) DPF/CAE/MT
DELEGADO-CHEFE ( SALA 10 ) - DPF/CAE/MT
NÚCLEO DE TRANSPORTES - DPF/CAE/MT
NA EQUIPE 01 - DPF/BRG/MT
AMBIENTAL SALA 08
PASSAPORTES/ESTRANGEIROS (SALA 02) - NÃO LOCALIZADOS - DPF/CAE/MT
BENS A DISTRIBUIR DPF/CAE
DELEGADO ( SALA 12) - DPF/CAE/MT
CARTÓRIO CENTRAL (SALA 07) -  BENS NÃO LOCALIZADOS - DPF/CAE/MT
DELEGADO 04 - SALA 13 CAE - BENS NÃO LOCALIZADOS
SINARM (SALA 04) - BENS NÃO LOCALIZADOS - DPF/CAE/MT
ALMOXARIFADO/NAD/SR/MT
SALA DE REUNIÕES / AUDITÓRIO ( SALA 08) DPF/CAE/MT - NÃO LOCALIZADOS
*** MIGRACAO (SR/DPF/MT)-> DELEGACIA DE POL¥CIA FEDERAL DE CCERES/MT -> NUMIG/DPF/CAE/MT
DELEGADO  ( SALA 14 ) BENS NÃO LOCALIZADOS- DPF/CAE/MT
DEPOSITO SALA 09
ALOJAMENTO FEMININO  E DEPÓSITO BENS NÃO LOCALIZADOS
*** MIGRACAO (SR/DPF/MT) -> DELEGACIA DE POLICIA FEDERAL DE RONDONOPOLIS-MT.
SALA DE TI 3º ANDAR - BENS NÃO LOCALIZADOS
GESCON - BENS NÃO LOCALIZADOS
DELEGADO 01 SALA 010 BENS NÃO LOCALIZADOS DPF/ROO/MT
NÚCLEO DE OPERAÇÕES - BENS NÃO LOCALIZADOS DPF/ROO/MT
SECRETARIA - BENS NÃO LOCALIZADOS DPF/ROO/MT
PLANTÃO - DPF/ROO/MT
COPA ROO 
SERVIDOR DE REDE - DPF/BRG/MT
SUPERINTENDÊNCIA - SALA 302
SUPERINTENDÊNCIA - SALA 302 - BENS NÃO LOCALIZADOS
GABINETE DA SUPERINTENDÊNCIA 811 E 810
LABORATÓRIO GIB - BENS NÃO LOCALIZADOS
SALA 05 A
UIGE 
SEC GAB
MANUTENÇÃO SERVIÇOS GERAIS B
CHEFIA DELEPAT
DELEGADO  ( SALA 14 ) - DPF/CAE/MT 
NAD BRG 109
DELEGADO ( SALA 11 ) BENS NÃO LOCALIZADOS DPF/BRG/MT
GEPAEL SETEC
NUTEC - ARCO DE FOGO - PERICIA - SALA 216
NUTEC- CHEFIA - SALA 220
NO DELEMAPH
ALOJAMENTO B
DELEGADO 04 SALA 104 - DPF/BRG/MT
NUMIG - PASSAPORTE
ARQUIVO RH
PAGAMENTO RH A
COPA - BENS NÃO LOCALIZADOS
PREFEITURA - DPF/BRG/MT
PLANTAO INATIVO
CARTÓRIO CENTRAL - SALA 111 - DPF/BRG/MT
CARTORIO DELEFAZ
NO DELECOR 1 705
GAB DRE SL 603
BENS A DISTRIBUIR DPF/SIC
CARTÓRIO CENTRAL - SALA 111 - NÃO LOCALIZADOS - DPF/BRG/MT
*** MIGRACAO (SR/DPF/MT)-> DELEGACIA DE POL¥CIA FEDERAL DE BARRA DO GARCAS/MT -> PLANTÞO
CARTÓRIO/ESTAGIÁRIA - SALA 102 BENS NÃO LOCALIZADOS DPF/BRG/MT
TERREO SR ANTIGA EM REFORMA NAO LOCALIZADOS
CARTÓRIO - BENS NÃO LOCALIZADOS DPF/BRG/MT
NÚCLEO DE OPERAÇÕES - BENS NAO LOCALIZADOS
ARQUIVO CENTRAL - NOVA SR 
*** MIGRACAO (SR/DPF/MT)-> DELEGACIA DE POL¥CIA FEDERAL DE BARRA DO GARCAS/MT -> N§CLEO OPERACIONAL
DELEGADO 04 SALA 104 BENS NÃO LOCALIZADOS DPF/BRG/MT
DSS MANUTENÇÃO - BENS NÃO LOCALIZADOS
NUCLEO ADMINISTRATIVO - BENS NÃO LOCALIZADOS DPF/BRG/MT
ALMOXARIFADO NAD BENS NÃO LOCALIZADOS
CORREDOR 1º PISO - DPF/BRG/MT
DELEGADO 03 SALA 103 - DPF/BRG/MT
DOAÇÃO PJC ARAGARÇAS
SERVIDOR DE REDE - BENS NÃO LOCALIZADOS - DPF/SR/MT
CORREDOR 7º ANDAR
UIGE SR NOVA 2019
PERÍCIAS EXTERNAS 416
LABORATÓRIO SETEC 
ALOJAMENTO BRG
NA EQUIPE 02 - SALA 110
NA EQUIPE 02 - SALAS 105 E 107
UTRAN
SALA ESTAGIÁRIA - SALA 102
SALA DE ARMAS BRG
SEC GAB - BENS NÃO LOCALIZADOS
*** MIGRACAO (SR/DPF/MT)-> DELEGACIA DE POL¥CIA FEDERAL DE BARRA DO GARCAS/MT -> N§CLEO DE ANÝLISE
*** MIGRACAO (SR/DPF/MT)-> DELEGACIA DE POL¥CIA FEDERAL DE BARRA DO GARCAS/MT -> CARTÄRIO
DELEMAPH -  SALA 205
PROTOCOLO ( SALA 05 ) - DPF/CAE/MT
DEPOSITO PROVISORIO NAD
CHEFIA SELOG - BENS NÃO LOCALIZADOS
SALA DE REUNIÕES 5º ANDAR
NO DREX 504
G01 - MANUTENÇÃO DEPÓSITO
GPI SL 501
COPA - CORREDOR 2 ANDAR 
CHEFIA DELEPREV-SALA 405 A (SR NOVA) BENS NÃO LOCALIZADOS
VIDEO CONFERENCIA
17.85-16 -  SERVIDOR REDE - BENS NÃO LOCALIZADOS DPF/ROO/MT
DEPÓSITO 
COPA - CORREDOR 5° ANDAR 
ALMOXARIFADO - BENS NÃO LOCALIZADOS
NTI SHOPPING
SETEC LABORATORIO SALA 201 - BENS NÃO LOCALIZADOS
UTEC - LABORATÓRIO DOC/GEO (215)
CHEFIA DELEMAPH - BENS NÃO LOCALIZADOS
NUCART - BENS NÃO LOCALIZADOS
NIP - BENS NÃO LOCALIZADOS
CHEFIA DRCOR BENS NÃO LOCALIZADOS
DELEGACIA DE POLÍCIA FEDERAL EM BARRA DO GARÇAS - DPF/BRG/MT
NO DELEPREV - SALA 405B (SR NOVA)
DELEMIG SHOPPING
COMISSÃO PERMANENTE DE DISCIPLINA
DELEGADO 04 - DPF/CAE/MT - SALA 13
DEPÓSITO NUCART - BENS NÃO LOCALIZADOS
DEPOSITO FUNDOS - BENS NÃO LOCALIZADOS
NO DREX - BENS NÃO LOCALIZADOS
ARQUIVO SETEC
PROTOCOLO 
DOCUMENTOSCOPIA SETEC
GPI- GRUPO DE PRONTA INTERVENÇÃO
SEGURANCA PRIVADA
PROTOCOLO SALA 208
SALA 232 DRE
303B SR NOVA BENS NÃO LOCALIZADOS
DELEAQ/SINARM/DELESP - SHOPPING NÃO LOCALIZADOS 
IMIGRAÇÃO DELEMIG 709 A
NTI - BENS NÃO LOCALIZADOS
PLANTÃO - RECEPÇÃO
CORREDOR 3º ANDAR
AUDITÓRIO
CORREDOR 2º ANDAR
SALA DE TI 3 º ANDAR
GAB  02 SALA 04
NO 01 - SALA 012
COMISSÃO DE VISTORIA ROO
NA-DELEFIN
305A SR NOVA - BENS NÃO LOCALIZADOS
CORREDORES -  SR NOVA
AUDITÓRIO - BENS NÃO LOCALIZADOS
NTI E NÚCLEO DE TECNOLOGIA ( SALA 18) BENS NÃO LOCALIZADOS DPF/CAE/MT
DSS MANUTENÇÃO - SALA 406 B (SR NOVA) BENS NÃO LOCALIZADOS
DELECOR
NA DELEPAT INATIVO
SALA ODAIR
NTI (204)
CHEFIA DRE - BENS NÃO LOCALIZADOS
NO DELEMAPH BENS NÃO LOCALIZADOS
CHEFIA DELEFAZ - BENS NÃO LOCALIZADOS
SALA 407 A - NO DELEFAZ - SR NOVA
CHEFIA DELEPREV - SALA 405 A (SR NOVA)
GUARITA - BENS NÃO LOCALIZADOS
SINARM - BENS NÃO LOCALIZADOS DPF/BRG/MT
DELEGADO 03 SALA 103 - BENS NÃO LOCALIZADOS
DEPOSITO/NUCART/DRCOR. 
SALA 04 A
DRPU SALA 09
ALMOXARIFADO ROO
SALA DE TI 6º ANDAR
ACADEMIA 
ATENDIMENTO DELESP T05
NO DELEMAPH - BENS NÃO LOCALIZADOS
CHEFIA DREX - SALA 304B SR NOVA - BENS NÃO LOCALIZADOS 
SERVIDOR DE REDE
ESTRANGEIRO - CONFORMIDADE E ARQUIVO
NÚCLEO DE ANÁLISE - BENS NÃO LOCALIZADOS DPF/ROO/MT
NÚCLEO DE TRANSPORTES - DPF/ROO/MT
CPL/GESCON 310
GESCON
NUTRAN SALA 221
UTEC - MEIO AMBIENTE SALA 219
DEPÓSITO DE MATERIAIS E DROGAS
SEC DREX - SALA 304A - NOVA SR 
NUCART DEPÓSITO SALA 408 (SR NOVA)
ALOJAMENTO - SALA 11 - DPF/BRG/MT
PROTOCOLO - BENS NÃO LOCALIZADOS
DELEAQ CHEFIA
COPA - CORREDOR 3 ANDAR 
COPA
DELEFIN
NO DREX DEPÓSITO
SETEC LAB INF - SALA 202 (SR NOVA)
GRCC - SALA 104 A
DELESP 
GUARITA - BENS NÃO LOCALIZADOS DPF/ROO/MT
NAD/GAB/SR/PF/MT
PASSAPORTE SALAS - BENS NÃO LOCALIZADOS
DEPÓSITO TEMPORÁRIO NAD
NUTRAN - VEICULOS
DELEFAZ- SALA 406A SR NOVA
NA DREX
FORÇA TAREFA DELEPREV
PASSAPORTE SALA 02 E NUMIG SALA 01 BENS NÃO LOCALIZADOS - DPF/BRG/MT
PLANTÃO - BENS NÃO LOCALIZADOS DPF/ROO/MT
PASSAPORTE SIC
TRANSFERÊNCIA
CHEFIA DREX - SALA 304B  NOVA SR 
SALA LIMPEZA 205
COPA - CORREDOR 6° ANDAR 
NO DELEPAT
LABORATÓRIO DE BALÍSTICA 
NO DELINST NOVO
ACADEMIA (SALA 07) - DPF/CAE/MT
UCI 505
NÚCLEO DE OPERAÇÕES - DPF/ROO/MT
PLANTÃO T03
NA DELEPAT
CONFREG SELOG
SL 003 - NO DELEMIG
PROTOCOLO  SR NOVA
NAD SELOG SR NOVA
SALA DRE 704
PAGAMENTO RH - BENS NÃO LOCALIZADOS
CARCERAGEM SALA 222
CHEFIA SRH 307 
SALAS DE REDES NTI 
NO DRE BENS NÃO LOCALIZADOS
DEPÓSITO CARTÓRIO E APOIO (SALA 15) - BENS NÃO LOCALIZADOS 
SEC COR 1 808
PLANTÃO DESCANSO T02
BALÍSTICA 
303 NID SISTEMA AFIS
GUARITA 
COMUNICACAO SOCIAL/UNIDADE DE CONTROLE INTERNO/ UNIDADE GESTAO ESTRATEGICA 509
LAB DOC GEOMOLOGIA 
INFORMATICA SETEC 410
GAB 02 DELEFAZ
NO DELEAQ
SALA 234 CAPTURA
SALA 03
SALA 231 UIP
SEC DRCOR - BENS NÃO LOCALIZADOS
SALA DE FLAGRANTE M03
COPA - BENS NÃO LOCALIZADOS DPF/ROO/MT
COPA - CORREDOR 4° ANDAR 
COPA - CORREDOR 7° ANDAR 
*** MIGRACAO (SR/DPF/MT) -> NPO/ARMAMENTO
CHEFIA 101 - BENS NÃO LOCALIZADOS - DPF/BRG/MT
PLANTÃO E CORREDOR - BENS NÃO LOCALIZADOS DPF/CAE/MT
CHEFIA - DPF/ROO/MT
NAD - AUDITÓRIO
CHEFIA DRE
PREFEITURA
COPA - CORREDOR 8° ANDAR 
DEPÓSITO MATERIAIS DE LIMPEZA
ESCRIVAO 2 (211) - BENS NÃO LOCALIZADOS
NAD - COPA E COZINHA
NUCART - SALA 212
SALA DE REUNIÃO - BENS NÃO LOCALIZADOS
CARTORIO 2 - DPF/SIC/MT (224/226)
PLANTAO - BENS NÃO LOCALIZADOS
DEPÓSITO SINARM TÉRREO
CHEFIA NTI 507
PLANTÃO RECEPÇÃO 
SALA RESERVA 709
NO DELECOR
NO DELEPREV 612
GPINF - BENS NÃO LOCALIZADOS
NUTRAN SALA
NUTRAN 313
NAD - DEPÓSITO DOS FUNDOS
PLANTÃO - BENS NÃO LOCALIZADOS
PASSAPORTE RECEPÇÃO
ALOJAMENTO 8º ANDAR - BENS NÃO LOCALIZADOS
GID/DPF/BRG 115 - DPF/BRG/MT 
GPLAB SETEC  - BENS NÃO LOCALIZADOS
*** MIGRACAO (SR/DPF/MT) -> NA/DELEFAZ 704
BASE GUAPORÉ - DPF/BRG/MT
NÚCLEO DE ANÁLISE - BENS NÃO LOCALIZADOS DPF/BRG/MT
PREFEITURA BENS NÃO LOCALIZADOS - DPF/ROO/MT
SIP CARTÓRIO 802
GAB 03 SALA 05
PAGAMENTO RH
CARTORIO - DPF/BRG/MT
NÚCLEO DE IDENTIFICAÇÃO - ( SALA 06 ) DPF/CAE/MT
SINARM (SALA 04) - DPF/CAE/MT
NUCART (223)
SERVIDOR REDE - DPF/ROO/MT
GID DREX - BENS NÃO LOCALIZADOS
NA/DELEPAT
PROTOCOLO - DPF/BRG/MT
SALA DE TI 2º ANDAR - BENS NÃO LOCALIZADOS
*** MIGRACAO (SR/DPF/MT)-> DELEGACIA DE POL¥CIA FEDERAL DE CCERES/MT -> SECRETARIA/DPF/CAE/MT
*** MIGRACAO (SR/DPF/MT)-> DELEGACIA DE POL¥CIA FEDERAL DE CCERES/MT -> NID/DPF/CAE/MT
CARTÓRIO 01 - DPF/ROO/MT
UIGE - UNIDADE INTEGRADA DE GESTÃO ESTRATÉGICA
DRCOR INATIVO
NUCLEO DE CARTÓRIO INATIVO
SEC DREX - SALA 304A - BENS NÃO LOCALIZADOS 
PASSAPORTE SALA 02 E NUMIG SALA 01 - DPF/BRG/MT
NTI 204 - BENS NÃO LOCALIZADOS
ARQUIVO - SALA 229
CARTORIO (225/227)
NA DELECOR
GABINETE 1 - CHEFIA (210)
NUCOR - BENS NÃO LOCALIZADOS
SEC COR - BENS NÃO LOCALIZADOS
CHEFIA BENS NÃO LOCALIZADOS DPF/ROO/MT
SALA 04 B
DELEGADO 03 - SALA 007 -  DPF/ROO/MT
ALOJAMENTO - DPF/CAE/MT
CARTORIO 2 (224/226) - BENS NÃO LOCALIZADOS
PRELIMINAR SETEC SALA M02
SINARM - SALA 223
SALA 20 LAUDO PRELIMINAR
NUTEC - LABORATORIO DE QUIMICA - SALA 218
CHEFIA DELEMIG 
CORREDOR - DPF/ROO/MT
SALA 217 UCA
DELEGADO-CHEFE - BENS NÃO LOCALIZADOS(SALA 10) DPF/CAE/MT
BENS A DISTRIBUIR DA DPF/ROO/MT
NUMIG BENS NÃO LOCALIZADOS DPF/ROO/MT
UTEC - CHEFIA (220)
UNIDADE DE INTELIGÊNCIA POLICIAL - BENS NÃO LOCALIZADOS DPF/ROO/MT
DELEGADO - SALA 006
SECRETARIA DO GABINETE (208)
GABINETE 4 - SALA 209
SALA DE TI 5º ANDAR
SALA DE TI 4 ANDAR - BENS NÃO LOCALIZADOS
NUCLEO DE ANALISE
CORREDOR
CARTORIO 225/227 - BENS NÃO LOCALIZADOS
ESCRIVAO 3 (213) - BENS NÃO LOCALIZADOS
ALOJAMENTO SALA 213
NAD - ALOJAMENTO
OPERACAO SENTINELA - BASE PONTES E LACERDA
SECRETARIA DREX BENS NÃO LOCALIZADOS
NAD/DPF/SIC/MT (207)
UNIDADE DE INTELIGENCIA POLICIAL (234)
CARTORIO 221 - BENS NÃO LOCALIZADOS
NA (234) - BENS NÃO LOCALIZADOS
NUCLEO DE ANALISE/UIP (234) - BENS NÃO LOCALIZADOS
GAB 2  SALA 211
NO MASELLI- SALA 224
ARQUIVO - SALA 229 - BENS NÃO LOCALIZADOS
NAD 207 - BENS NÃO LOCALIZADOS
SALA 207
NUTEC - MEIO AMBIENTE - SALA 219
ARMARIA SALA 228
NUCART ARQUIVO - SALA 229
CV/SINARM
LAB INFORMATICA UTEC SALA 217
GABINETE 3 (214)
DELEAQ/ATENDIMENTO SR T06
NTI MANUTENÇÃO SALA 406B
ESCRIVÃO 2 (211)
SL 012 - DELEMIG
*** MIGRACAO (SR/DPF/MT) -> ALMOXARIFADO DO NTI
NO DREX - SALA 307 BENS NÃO LOCALIZADOS 
GAB DELECOR 702
NO DELEMIG
GAB DELECIBER 706
NUCART CHEFIA 607
GAB 01 DELEFAZ
SIP ANÁLISE 804
GAB DELECOR 703
CV/CQ SLA 006 - DPF/ROO/MT
UTEC - LABORATÓRIO DE QUÍMICA (218)
SALA DE FLAGRANTE - INATIVA
SALA DE TI 4º ANDAR
SERVIDOR DE REDE - DPF/CAE/MT
NUCOR 806
NO DELEPREV - SALA 405B (SR NOVA)-BENS NÃO LOCALIZADOS
CARTORIO-DEPOSITO TERREO - BENS NÃO LOCALIZADOS
SALA 206
DOCUMENTOS COPIA SET - BENS NÃO LOCALIZADOS
ARCO DE FOGO - PERÍCIA (216)
ALOJ FEM E DEPÓSITO - DPF/ROO/MT
CARTORIO SALA 308A NUCART
SALA DE REUNIÃO 606
VESTIÁRIOS E DESCANSO 1° ANDAR 
CHEFIA NAD 
GAB  04 SALA 06
FICCO DELEPAT 602
DELECOR 03 - SALA 403 (SR NOVA) BENS NÃO LOCALIZADOS
CORREDOR 1º ANDAR
CHEFIA DELECOR
2 ANDAR FISCALIZAÇÃO DA OBRA
SECRETÁRIA SETEC 
PAGAMENTO SRH 
COR - BENS NÃO LOCALIZADOS
CHEFIA DELEMIG 701
NO DELEPREV -  BENS NÃO LOCALIZADOS
CHEFIA SELOG - SALA 106 A (SRN)-BENS NÃO LOCALIZADOS
PLAERO- BENS NÃO LOCALIZADOS
DELEGACIA DE POLICIA FEDERAL DE SINOP-MT
NAD -  TÉRREO
NUTEL
CHEFIA NID 
SALA DE REUNIÕES / AUDITÓRIO ( SALA 08) DPF/CAE/MT
SINARM - DPF/BRG/MT
ALMOX LIMPEZA SL 14 - DPF/BRG/MT
NUCART - SALA 402 A (SR NOVA) BENS NÃO LOCALIZADOS
COPA - DPF/ROO/MT
GPCONT - BENS NÃO LOCALIZADOS
DELEFAZ- SALA 406A SR NOVA BENS NÃO LOCALIZADOS
SALA DE TI 7º ANDAR
MEIO AMBIENTE 404
106B SR NOVA BENS NÃO LOCALIZADOS
SALA DE TI 6º ANDAR - BENS NÃO LOCALIZADOS
GAB 01 DELINST
NTI/ROO/MT
CHEIA SETEC 407
FORÇA TAREFA DELEPAT - SALA 101
SUPORTE NTI 202
DEPÓSITO ANEXO/GTRAN
*** MIGRACAO (SR/DPF/MT) -> NIP-501
*** MIGRACAO (SR/DPF/MT) -> GTRAN 101-A
*** MIGRACAO (SR/DPF/MT) -> OPERACAO SENTINELA
*** MIGRACAO (SR/DPF/MT) -> DRE 808 A
CHEFIA/UTEC/SIC/MT SL 220
CHEFIA DRCOR 813
UTEC - LAB DOC/GEO (215) - BENS NÃO LOCALIZADOS
NUCLEO DE OPERAÇÕES - ARMAMENTO - DPF/BRG/MT
DELEGACIA DE POLÍCIA FEDERAL DE CÁCERES/MT - DEPOSITO BAIXA
*** MIGRACAO (SR/DPF/MT) -> NUCLEO DE TRANSPORTE-101 B
GTRAN - BENS NÃO LOCALIZADOS
*** MIGRACAO (SR/DPF/MT) -> ARMAMENTO
*** MIGRACAO (SR/DPF/MT) -> NO/DELINST
NTI
CHEFIA SIP 805
DELEGADO 03 - SALA 007- BENS NÃO LOCALIZADOS DPF/ROO/MT
BASE GISE - BENS NÃO LOCALIZADOS - CAE
CADASTRO NAD/SRH 305 
NÚCLEO DE ANÁLISE DA DRE
ARMAMENTO/GAT/DREX/SR/PF/MT
NUTRAN VEICULOS 
DEPOSITO ANEXO - BENS NÃO LOCALIZADOS
SALA 222 - BENS NÃO LOCALIZADOS
NTI SALA - BENS NÃO LOCALIZADOS
DESFAZIMENTO 2019
NTI DESFAZIMENTO RADIOS TPH
ACADEMIA - BENS NÃO LOCALIZADOS
 ACADEMIA ( SALA 01 ) DPF/CAE/MT - BENS NÃO LOCALIZADOS
NO DELEPREV 405B SR NOVA 2019
DELISNT - SALA 204
*** MIGRACAO (SR/DPF/MT) -> DELEPAT 808 B
GTRAN/SR/MT
GAB DELESP 503
GAB DELEPREV 
