TUTORIA
SALA- PERITO MEIO AMBIENTE 1
SALA - SAT - ARMAMENTO
SALA- N3-03 - CUSTODIA DE PROVAS I
*** MIGRACAO (SR/DPF/AC) -> DELEGACIA DE PREVENCAO E REPRESSAO A CRIMES FAZENDARIOS
SALA - S2-07-UNIDADE DE GESTÃO ESTRATEGICA / ASSESSORIA SR
CORREDOR WT
SALA DE EMISSAO DE PASSAGENS/SR/AC
SALA- NT-10 - ATENDIMENTO DELEMIG
SALA S1-17 DEPÓSITO CARTÓRIO CENTRAL
SALA- NT-20 - DELEGADO DELEMIG
*** MIGRACAO (SR/DPF/AC) -> NUCLEO DE INTELIGENCIA POLOCIAL
SALA- N1-10 -  DELEGADO DELEPAT
SALA- WS-08 - ARQUIVO MORTO
SALA- N1-02 - BAN
SALA- S1-12:  N.O. / CARTÓRIO DELECOR
SALA - ST-04 - DEPOSITOP NTI
*** MIGRACAO (SR/DPF/AC) -> PRODUTOS QUIMICOS
*** MIGRACAO (SR/DPF/AC) -> 1 COMISSO PERMANENTE DE DISCIPLINA.
*** MIGRACAO (SR/DPF/AC) -> CAUTELA DE MATERIAIS
SERVIÇOS GERAIS
N.O. SALA2
CORREDOR S1
SALA- PLANTAO DA PF DO AEROPORTO RBR
PAPILOSCOPISTAS
SALA- S1-01 - CARTÓRIO CENTRAL
SALA- N3-17 LABORATORIO DE ENGENHARIA E MEIO AMBIENTE
SALA- NT-13 - DELEAQ
COPA DPF/CZS/AC
PATIO INTERNO DA DPF
SALA- N1-09 - CARTORIO DELEPAT
SALA- S1-11 - RECRUTAMENTO
NO GERAL 
SALA - NUCLEO DE INFORMATICA
SALA- S3-06 CHEFIA GID
GARAGEM SUB SOLO SR.
SALA- W2-07 - CHEFIA NTI
SALA- DEPOSITO MATERIAL DE LIMPEZA
SALA- 12 - GA
SALA- APOIO IMPRENSA
ALOJAMENTO FEMININO SR/PF/AC
SALA- ST-02 - INTEGRAPOL / SALA DA OAB
S1-07 DELEGADO DELEPAT
GID/SR/PF/AC
LABORATÓRIO DE PERÍCIAS PAPILOSCÓPIAS
SALA- CARTÓRIO CENTRAL DPF/CZS/AC
SALA - W2-12 - SETOR DE RECURSOS HUMANOS
*** MIGRACAO (SR/DPF/AC) -> DELEGACIA DE POLICIA FEDERAL EM CRUZEIRO DO SUL/AC
SALA- W1-09 - FORÇA TAREFA
SALA- N.O DRPU
LOTE 1 DESFAZIMENTO 2025
SALA- NT 11 - PROTOCOLO
SALA- 16 - ALMOXARIFADO
SALA - W1-02- COPA 1 ANDAR
SALA- ESTUDIO AUDITORIO
SALA- N3-05 - PERITOS SOBRE AVISO
*** MIGRACAO (SR/DPF/AC) -> NUCLEO DE OPERACOES
AUDITORIO SR/PF/AC
DELEGACIA CONTRA CRIMES PREVIDENCIARIOS
SALA DE REUNIÃO - GPI
COPA CORREDOR SETEC
N2-05 - GTED
S1-05
W3-14 - VIDRARIA
SALA- S1-15 - CHEFIA DELECOR
W1-07 - D.M.L
LOTE 2 DESFAZIMENTO 2025
SALA- N3-13 - LABORATORIO AUDIOVISUAL
SALA - NT-06 - ATENDIMENTO ESTRANGEIRO
SALA- N.O DRE DPF CSZ/AC
SALA- GA 01 DPF/CZS/AC
SALA- PLANTAO DO AEROPORTO CZS
POSTO DO DPF EM MARECHAL THAUMATURGO
SALA- N1-01 - GISE - N1-03 GA1
SALA- W1-13 - OPERAÇÃO SENTINELA
SALA- PLANTAO DO AEROPORTO RBR
*** MIGRACAO (SR/DPF/AC) -> NUCLEO DE CARTORIO
*** MIGRACAO (SR/DPF/AC) -> ASSISTENTE SOCIAL
SECRETARIA DO GABINETE - SR/PF/AC
SALA- W3-16 LABORARIO DE QUIMICA INSTRUMENTAL 2
SALA- DEPOSITO DE FERRAMENTAS AREA EXTERNA
NUCLEO DE COMUNICACAO SOCIAL
SALA- NT-21 N.O DELESP
SALA- W3-11 LABORATORIO DE BIOLOGIA
ALA W3 - SETEC
SALA- NT-16 - NO DELEMIG
SALA- W2-06 - D M L
SALA- S1-09 - DELEGADO DELINST
SALA- W1-11 - FORÇA TAREFA
SALA- SECRETARIA DA CORREGEDORIA
SALA - S1-16 - CARTÓRIO DELECOR
SALA ST-12 - GPI
SALA- NT-19 - DELEFIN
SALA- NT-17 - N.O DELESP
TELE SALA
COPA 03 ANDAR SETEC
SALA- ST-09 - DELEGADO DO DIA
SALA- NT-08 - ATENDIMENTO DELEAQ
COPA 4º ANDAR
SALA- WS-06 - LIMPEZA SUBSOLO
SALA- N3-14 PERITO CONTABEIS
SALA- NT-22 - DÉPÓSITO DELESP
SALA- N3-04 CHEFIA SETEC
NT-12 ATENDIMENTO PASSAPORTE
NT-21
SALA- ST-13
N2-12 - GTED
SALA 17: CARTÓRIO
SALA- CARTORIO GERAL
SALA- N3-10 PERITO MEIO AMBIENTE 2
*** MIGRACAO (SR/DPF/AC) -> SETOR TECNICO CIENTIFICO
AFIS
SALA- ST-15 - N.O DREX
*** MIGRACAO (SR/DPF/AC) -> TELECENTRO/SR/DPF/AC
SALA- N3-09 - PERITO INFORMATICA 
N1-01 N.O DMA
CRI/PEBRA/EPA
SALA- ST 19 - CHEFIA N.O DREX
SALA - N1-16 - ALMOXARIFADO DRE
W1-10
S2-13 PNE
RETRATO FALADO
SALA- N1-12 - DELEGADO DELEPAT
SALA- 11 - N.O
NT-14
SALA- N1-04 - DELEGADO DELEFAZ
SALA- 20
SALA- 19 - DELEGADO
SALA-S1-07 - N.O. DELINST
SALA- WT-07 - D.M.L 
ACADEMIA - DPF/EPA/AC
SALA- WT-10 - RECONHECIMENTO 
SALA- W3-08 PESAGEM
SALA - PLANTÃO AEROPORTO RBR.
PNATÃO SR
SS- 14 SALA DE NOBREAK
SALA- S1-09 - N.O. DELEMAPH
NUC/ENG
SALA- WS-02 - SALA TECNICA
S3-06 - SALA- S3-06 CHEFIA GID 
SALA- N3-16 LABORATORIO DE INFORMATICA
W3-06 - PNE
SALA- S1-13 - DELEGADO DELECOR
*** MIGRACAO (SR/DPF/AC) -> DELEGACIA REGIONAL DE COMBATE AO CRIME ORGANIZADO.
SALA- GBINETE DELEGADO DPF/CZS/AC
SALA- W1-08
SALA- WT-08 - SALA DE SERVIDORES
SALA - D.M.L 1º ANDAR
SALA- N3-07 PERITOS ENGENHARIA 2
N1-06 DELEGADO DRE
SALA RECEPÇÃO NAD
N1-12 DELEGADO DMA
SALA- 06 ACESSO RESTRITO
*** MIGRACAO (SR/DPF/AC) -> SETOR REGIONAL DE ADMINISTRAÞO
SALA- CENTRAIS
SALA- 07 - PROJEÇÃO
SALA- N2-03 - CONTRATOS
SALA- 03 - IMIGRAÇÃO
SALA- S3-04 RETRATO FALADO GID
CORREDOR N2 - SELOG
SALA- N2-10 - CPL 
W4-07 - SANATARIO PNE
NT-19 - DELEGADO DELESP
NT-23 BANHEIRO PNE
SAD
S1-19 BANHEIRO PNE
N3-18 - BANHEIRO PNE
RESIDENCIA FICCO
CORREDOR NT
SALA- W3-07 - D.M.L SETEC
SALA- N1-11 - NO DELEMAPH
SALA- N1-06 - CARTORIO DRE
SALA- N3-08 PERITOS ENGENHARIA 1
DEPOSITO CARTORIO 5º ANDAR
SALA DELEMIG DPF/CZS/AC
 (4 ANDAR - CONVIVENCIA  )SALA- CONVIVENCIA 4 ANDAR - SR/PF/AC (1979) 
SALA- N3-01 SALA DE REUNIAO SETEC
CONTRATOS/SELOG/SR/PF/AC
SALA- S2-01 - SALA DE REUNIÃO SUPERINTENDENTE
SALA - N1-02 - BAN
SALA S1-05 DELEGADO DELEPREV 
W4-01 - RECEPÇÃO
SALA- S1-04 - CHEFIA DRCOR/PF/AC
*** MIGRACAO (SR/DPF/AC) -> DELEGACIA DE DEFESA INSTITUCIONAL.
RECEPÇÃO DA SR - CENTRAL - ATENDIMENTO AO PUBLICO
SALA- NT 14 - DELEGADO DELESP
CORREGEDORIA REGIONAL DE POLICIA FEDERAL
DEPOSITO SETEC AREA EXTERNA - GUARDA DE CILINDROS
VIATURAS INSERVIVEIS NO PATIO SR/PF/AC
SALA- N3-15 LABORATORIO FONETICO FORENSE
SALA- N3-02 SECRETARIA CHEFIA SETEC
SALA- DEPOSITO DE MATERIAIS
SALA - S2-09 -ASSESSORIA DE IMPRENSA
SALA- 02 - SECRETARIA
SALA 06: DELEGADO
SALA- W3-12 LAVAGEM
*** MIGRACAO (SR/DPF/AC) -> NUCLEO DE ARMAMENTO E TIRO
NUTRAN DPF/EPA/AC
PROTOCOLO (SR/PF/AC)
COPA 3º ANDAR
AUDITÓRIO
CONFRON ASSIS BRASIL ATENDIMENTO REFUGIO
ASSESSORIA SUPERINTENDENTE
N1-15 - CARTÓRIO DELEMAPH
SALA- S1-10 - CARTÓRIO DELEMAPH
N2-01 - ASSESSORIA
GTED
SALA - W3-02 - SALA TECNICA AO LADO DO ELEVADOR DE SERV
SALA- NT 12 - ATENDIMENTO PASSAPORTE DELEMIG
SALA DE REUNIÃO - DRCOR
N1-15 CONSERVAÇÃO PREDIAL
SALA- N3-19 LABORATORIO DE ELETRO ELETRONICA
SALA- 21 - DELEGADO
SALA DE DESCONTAMINAÇÃO
SALA- W3-13 LABORATORIO DE QUIMICA INSTRUMENTAL 1
CPL/SELOG/SR/PF/AC
SALA- W1-14 - OPERAÇÃO SENTINELA
CANIL - SR/PF/AC
SALA ESCURA S3-03 
GABINETE CHEFE DPF/CZS/AC
SALA- GABINETE DELEGADO AO LADO DA COPA   DPF/CZS/AC
SALA- W1-07 - OPERAÇÃO ARCO DE FOGO
BENS LOCALIZADOS 
SALA- W1-12/ W1-14 
SEF/SR/AC
CANIL DPF/EPA/AC
ESTANDE DE TIRO - SUB-SOLO SR/PF/AC
SALA- N1-06 - CARTORIO DELEFAZ
GABINETTE AREA EXTERNA AO LADO DO BANEIRO
SALA- N1-15 - GA6
SALA- N3-06 - LABORATORIO SETEC
SALA- DEPOSITO TRANSPORTE
SECRETARIA DRCOR
NT-17 - ATENDIMENTO DELEAQ
NUDIS
W1-12 - DELEGADO DELISNT
NT-16
N1-08
CORREDOR ST
N2-06 - SALA DE REUNIÃO SELOG
SALA - N1-14 - CHEFE SUBSTITUTO DELAMAPH
SALA TECNICA
SS-11 - DEPOSITO
SALA- N2-15 - DEPOSITO NAD
CHEFIA NID
NEOF/SELOG/SR/DPF/AC
SALA DE REUNIÃO - GABINETE
SALA - S4-01  ACADEMIA/SR/DPF/AC
SETOR DE MATERIAIS ACAUTELADOS NO NTI
LOTE 05 - DESFAZIMENTO 2025
ANTIGA DELESP
SALA - S2-02 - SECRETARIA DO DREX
NT-12
CONFRON MARECHAL THAUMATURGO
CORREDOR S2
ASSESSORIA
SALA-W1-09 - OPERAÇÃO ARCO DE FOGO
W1-08 DELEGADO DRCC
N3-SETEC
SALA- RADIO
SALA G.B.E - SS-12
SALA N1 09 - CARTORIO DRE
SALA- N1-04 - DELEGADO DRE
SALA- 29 - CHEFE DPF/EPA/AC
NT-08
NUCOR
SALA- ARQUIVO
SALA- N1-10 - DELEGADO DELEMAPH
SALA N1 13 - NO DELEFAZ
SALA- N1-08 - CHEFIA DRE
SALA- W1-08 
VESTUARIO MASCULINO - ACADEMIA 4º ANDAR
VESTUARIO FEMININO - ACADEMIA 4º ANDAR
N1-12 CHEFIA DRE
SALA BAN
SALA- GA 02 DPF/CZS/AC
BENS ACAUTELADOS SELOG
ALMOXARIFADO
SALA- N1-11 - NO DELEPAT
SALA - S1 10 - NO DELEPREV
SALA - W3-10 - DEPOSITO GERAL SETEC
SALA TECNICA WT-02
SALA TECNICA W1-01
CORREDOR N1 
SALA- W5-07 - ATENDIMENTO ESTRANGEIRO
N1-13 - DELEMAPH
CORREDOR WS
NT-08 - ATENDIMENTO PASSAPORTE
N1-15 - NO DELEFAZ
