BENS A DISTRIBUIR
ADMINISTRAÇÃO LIMPEZA E MANUTENÇÃO - SALA 13
EX. CUSTÓDIA DO NÚCLEO OPERACIONAL
GUARITA INCRA
NÚCLEO DE CORREÇÃO NUCOR - SALA 358
GUARITA
DEPÓSITO DA MANUTENÇÃO NA ANTIGA CUSTÓDIA 
NTI - SALA 037
VESTIARIO MASCULINO SERVIÇOS GERAIS SELOG - SALA 09
DEPOSITO DO UTRAN SELOG - SALA 15
CPD - COMISSÃO PERMANENTE DE DISCIPLINA GAB - SALA 344
CORREDOR SETEC - SALA 207
AUDITÓRIO GAB - SALA 141
APOIO 2 DRE - SALA 257G
SAM - RAIO X SGP - SALA 241
BOMBAS COMPRESSORES SGP - SALA 242
SAM - AUTOCLAVE SGP - SALA 240
SALA 14/19 - NÚCLEO OPERACIONAL
NUCLEO OPERACIONAL - SALA 121B
COMISSÃO DE LICITAÇÃO - CPL SELOG - SALA 308/307
ARQUIVO SGP - SALA 332
CHEFIA DO UTRAN SELOG - SALA 26
NEPOM - SALA 600
SALA 22 - COPA
ANALISE - UIP
TELECENTRO AUDITÓRIO - SALA 261
ALOJAMENTO FEMININO DO PLANTÃO NO - SALA 134
CHEFIA NUCOR - SALA 357
CARTORIO 2
ATENDIMENTO DE PASSAPORTE DELEMIG - SALA 01
NUPAG - SALA 376
NÚCLEO OPERACIONAL DMA - SALA 212
SALA 16 - DEPÓSITO LIMPEZA
CONTROLE DE PRODUTOS QUIMICOS - SALA 121A
NÚCLEO OPERACIONAL DELEPAT - SALA 380
DELEGADO DELECIBER - SALA 386
AUTOMAÇÃO PREDIAL SELOG - SALA 220
DELEGADO E ESCRIVÃO DELEFAZ - SALA 280
GUARITA 01 SELOG
11.78.01-10 - DELEGADO DELEPREV - SALA 247
DREX - SALA 345
GTO DREX - SALA 10
CORREDOR 2º ANDAR SELOG - ELEVADOR RECEPÇÃO
SALA DE VIATURA E ÁREA EXTERNA DA DPF/CIT
*** MIGRACAO (SR/DPF/ES)-> DELEGACIA DE PREVENCAO E REPRESSAO A ENTORPECENTES -> SALA-006 COPA
NÚCLEO OPERACIONAL DELEPREV - SALA 250A
RECEPÇÃO DRE - SALA 257
UGE GAB - SALA 402
RECEPÇÃO UGE GAB - SALA 403
CHEFIA DREX - SALA 346
SALA DE REUNIÃO GAB - SALA 413/415
COZINHA/CHURRASQUEIRA E AREA DE LANCHE - SALA 36
NUCLEO DE OPERAÇÕES 
NÚCLEO DE CARTÓRIO
DEPÓSITO NTI - SALA 234/237
GALPÃO
PLANTÃO (DELINST)
GTED - GRUPO TÉCNICO DE EDIFICAÇÃO SELOG - SALA 313
*** MIGRACAO (SR/DPF/ES)-> DELEGACIA DE PREV. E REPRESSAO A CRIMES FAZENDARIOS -> SALA-004 ESCRIVÞO 2
ANÁLISE DELECOR - SALA 103
VEICULO FURTADO
AEROPORTO - RECEPÇÃO DELEMIG
*** MIGRACAO (SR/DPF/ES)-> SECAO TECNICA CRIMINALISTA -> SALA-005 PERITOS 3 2 ANDAR
APOIO 1 DRE - SALA 257F
COPA DELEMIG - SALA 12
COZINHA PROVISORIA - SALA 245
DELEGADO E ESCRIVÃO DMA - SALA 211
PASSAPORTE - DELEMIG -  COPA - SALA 09
NEOF - SALA 305
PLANTÃO - RECEPÇÃO
CANIL  DRE
CHEFIA NEPOM
CARTA PRECATÓRIA  COR - SALA 361
SUPORTE TÉCNICO NTI - SALA 323
NUAC
SERVIDOR DE REDE
VESTIARIO FEMININO SERVIÇOS GERAIS SELOG - SALA 22
NUMIG
*** MIGRACAO (SR/DPF/ES)-> SANEAMENTO -> NÞO LOCALIZADO
*** MIGRACAO (SR/DPF/ES)-> NUCLEO DE TECNOLOGIA DA INFORMA&#65533;ÞO -> SALA-011 SALA RÝDIO TERREO
ANALISE 06 DO CRIS - SALA 369F
*** MIGRACAO (SR/DPF/ES) -> MATERIAL PARA BAIXA
CORREDOR TOTAL 3º ANDAR SELOG
RECEPÇÃO DELESP  SALA 118 
CHEFIA DMA - SALA 209
CARTORIO - SALA 023
NÚCLEO OPERACIONAL DA DELESP - SALA 118A
DREX - SALA DE ESTANDE DE TIRO - SALA 01
PASSAPORTE - SALA 021
NUCLEO ADMINISTRATIVO - SALA 032
GID - GRUPO DE IDENTIFICAÇÃO - SALA 226
GABINETE 3 - SALA 030
PERITOS I SETEC - SALA 206
SECRETARIA
RECEPÇÃO AEROPORTO
NÚCLEO ADMINISTRATIVO DA DELESP - SALA 118B
PASSAPORTE
CASA - SALA 08
ANÁLISE DELEPAT - SALA 381
PROTOCOLO SELOG - SALA 126
NÚCLEO OPERACIONAL DELEMIG - SALA 07
RECONHECIMENTO NID - SALA 224
RECEPÇÃO DA SR/PF/ES - SELOG
SALA DE REUNIÃO NO - SALA 353
ESTRANGEIRO NPA
*** MIGRACAO (SR/DPF/ES)-> DELEGACIA DE DEFESA INSTITUCIONAL -> SALA-002 GABINETE 2
ANALISE DELEFAZ - SALA 255
SALA DOS ESCRIVÃES
SECRETARIA DELINST - SALA 214
SERVIDORES NTI - SALA 327
DEPÓSITO DE ARMAMENTO/MUNIÇÃO - SALA 19A
PASSAPORTES - SALA 12
ALOJAMENTO MASCULINO DO PLANTÃO NO - SALA 129A/133
DEPÓSITO DE DROGAS -  NUPROC - SALA 28
SALA DE REUNIÃO DREX - SALA 370/371
SAM - CONSULTÓRIO MÉDICO SGP - SALA 238
BANHEIRO - FEMININO
SALA 26 - SALA TÉCNICA NTI
ASSESSORIA DE COMUNICAÇÃO SOCIAL GAB - SALA 404
CHEFIA DELINST - SALA 208
NO DELECIBER - SALA 384
NUAQ NPA - SALA 020
PASSAPORTE NPA - SALA S/N
PASSAPORTE - DELEMIG - NÚCLEO DE OPERAÇÕES - SALA 07
CORREDOR SETEC - SALA 148
ALMOXARIFADO NUMAT - SALA 17
LABORATÓRIO AUDIOVISUAL SETEC - SALA 202
CASA MAQUINA PAINEIS II SELOG - SALA 14
SALA DE VIATURAS DREX 
SALA DE VIATURAS DRE
DELEGADO DELEFAZ - SALA 278A
SALA DE REUNIÃO NEPOM
NÚCLEO OPERACIONAL - SALA 121B
GABINETE DO CARTÓRIO
PASSAPORTE NPA - SALA 021
GESTÃO DE CONTRATO SELOG - SALA 301
GABINETE 4 - SALA 033
ANALISE 01 DO CRIS - SALA 369A
PROFESSORES (SEF) - SALA 10
RECEPÇÃO DA DELESP - SALA 165
SETOR DE ESTRANGEIRO DELEMIG - SALA 04
CARTA PRECATÓRIA - SALA 343
DESENVOLVIMENTO NTI - SALA 325
*** MIGRACAO (SR/DPF/ES)-> DELEGACIA ESPECIAL DE POL²CIA MAR²TIMA -> SALA-010 NO
ANALISE 03 DO CRIS - SALA 369C
GERENCIA DO CRIS SIP - SALA 368
GABINETE 2 - SALA 027
COPA 4ª ANDAR SELOG - SALA 416
SALA DE VIATURAS UTRAN - SELOG
CHEFIA SIP - SALA 330B
RECEPÇÃO DELEPREV - SALA 250
DELEGADO DELEFAZ - SALA 281C
DELEGADO E ESCRIVÃO DELINST - SALA 213/213A
*** MIGRACAO (SR/DPF/ES) -> NUCLEO DE OPERACOES
CHEFIA SGP - SALA 375
DELEGADO E ESCRIVÃO DELEPAT - SALA 102
*** MIGRACAO (SR/DPF/ES)-> DELEGACIA ESPECIAL DE POL²CIA MAR²TIMA -> SALA-015 GALPAO
ENTREVISTA NID - SALA 222
CHEFIA - SALA 124
CHEFIA DELEPREV - SALA 250D
PERITOS II SETEC - SALA 204
DELEGADO E ESCRIVÃO DELEFAZ - SALA 275
PERITOS VII SETEC - SALA 152
PERITOS SETEC - SALA 156
CORREDOR 2º ANDAR - AREA EXTERNA DMA
DELEGADO E ESCRIVÃO DELEFAZ - SALA 277
CHEFIA NO - SALA - 354
LABORATÓRIO DE ENGENHARIA DO MEIO AMBIENTE SETEC - SALA 158
CHEFIA DELECOR - SALA 101
PERITOS IV SETEC - SALA 149
DELEGADO DELECOR - SALA 105
PERITOS VI SETEC - SALA 151
CHEFIA NUDIS - SALA 356
ARQUIVO DELESP  SALA 118D 
NÚCLEO OPERACIONAL DRE - SALA - 257E
RECEPÇÃO SIP - SALA 330A
ESCRIVÃO/DELEGADO - SALA 102
APOIO DRPJ - SALA 109
DELEGADO DELECOR - SALA 102 A
RECEPÇÃO DA DELESP - SALA 118
PASSAPORTE - DELEMIG - SALA DE ATENDIMENTO - SALA 01
PASSAPORTE - DELEMIG - RECEPÇÃO
DELEGADO DELEFAZ - SALA 280A
GABINETE DO DEPÓSITO NUCART
*** MIGRACAO (SR/DPF/ES)-> DELEGACIA ESPECIAL DE POL²CIA MAR²TIMA -> SALA-005 VIGILANTE
INTERPOL - SALA 343
ARQUIVO DE PASSAPORTE
DELEGADO DRE - SALA 257B
LABORATÓRIO INFORMÁTICA SETEC - SALA 157
ALOJAMENTO AEROPORTO DELEMIG
ESCRIVÃES DRE - SALA 257D
LABORATÓRIO INSTRUMENTAL SETEC - SALA 162
PLANEJAMENTO - SALA 313
*** MIGRACAO (SR/DPF/ES)-> DELEGACIA ESPECIAL DE POL²CIA MAR²TIMA -> SALA-001 GABINETE
SALA DE VIATUR
SALA DE VIATURAS NO
SALA DE VIATURAS DA DELEPREV
*** MIGRACAO (SR/DPF/ES)-> SETOR DE RECURSOS HUMANOS -> SALA-012 SALA DE VIATURAS
SALA DE VIATURAS NUTRAN - NAD
DEPOM
SALA DE VIATURAS GAB
SALA DE VIATURAS DELEFAZ
SALA DE VIATURAS DELEPAT
GABINETE DO SUPERINTENDENTE GAB - SALA 410
SALA DE VIATURAS DELINST 
SALA DE VIATURAS DA SETEC 
SALA 10 - ANÁLISE
COPA SELOG - SALA 314
TRANSPORTE NAD - SALA 21
DEPOSITO DO NUCART - CUSTÓDIA
NUTRAN
SALA DE VIATURAS DMA
DELEGADO DELEPAT - SALA 382 A
SECRETARIA COR - SALA 359
DELEGADO E ESCRIVÃO - SALA 210 A
 DELEGADO E ESCRIVÃO DELINST - SALA 210
DELEGADO CHEFIA DELEFAZ - SALA 281B
PERITOS IX SETEC - SALA 154
PERITOS III SETEC - SALA 203
NÚCLEO OPERACIONAL DELECOR - SALA 107
NÚCLEO ADMINISTRATIVO DELESP  SALA 118B 
NÚCLEO OPERACIONAL DELESP   SALA 118A 
CHEFIA COR - SALA 362
PASSAPORTE - DELEMIG - CHEFE SUBSTITUTO - SALA 06
GABINETE CHEFIA SETEC - SALA 201
CHEFIA DRPJ - SALA 349
COR - SALA 360
NÚCLEO OPERACIONAL NO - SALA 351
CARTÓRIO NUDIS - SALA 355
CHEFIA DELEMIG - SALA 05
NAD/SR - SALA 408
SALA DE REPOUSO GAB - SALA 412
SECRETARIA GAB - SALA 406
SERVIÇO SOCIAL SGP - SALA 372
SALA 09 - SECRETARIA
RECEPÇÃO INTERNA DELECOR
SECRETARIA DELEFAZ - SALA 281
RECEPÇÃO DRPJ - SALA 348
NCI - SALA 343
SELOG - SALA 303
ASSESSORIA UCI GAB - SALA 418
OCORRÊNCIAS DELDIA DREX - SALA 136
PASSAPORTE - DELEMIG - SALA DE ENTREGA - SALA 03
NUPROC - SALA 373
FICCO - SALA 251 A
FICCO - SALA 251
RECEPÇÃO SIP - SALA 330
CHEFIA DA DELEAQ - SALA 121E
ANALISE DA DELECIBER SALA 381
GERENTE DE REDES NTI - SALA 326
DELEGADO E ESCRIVÃO DELEFAZ - SALA 278
PASSAPORTE - DELEMIG - SALA DE SUPERVISÃO
SAM - SERVIÇO MÉDICO SGP - SALA 235
ESCRIVÃO DELEPREV - SALA 246
DELEGADO E ESCRIVÃO DELEFAZ - SALA 281A
ESTRANGEIRO - DELEMIG - SETOR DE ATENDIMENTO
ESCRIVÃO E DELEGAGO DRE - SALA 257A
DELEGADO DELECOR - SALA 104
DELEGADO E ESCRIVÃO DELEPAT - SALA 382
ESCRIVÃO DELECIBER - SALA 385
*** MIGRACAO (SR/DPF/ES)-> DELEGACIA ESPECIAL DE POL²CIA MAR²TIMA -> SALA-009 BANHEIRO ADM
SALA 18 - MANUTENÇÃO/LIMPEZA
ARQUIVO GAB - SALA 409
DEPÓSITO NUPROC - SALA 27A
*** MIGRACAO (SR/DPF/ES)-> NUCLEO DE CARTORIO -> SALA-001 PRAIA DO CANTO
CASA - SALA 10
NTI - SALA 319
SALA DE VIATURAS DA DELEMIG
CORREDOR DELEFAZ
CORREDOR TÉRREO SELOG
RECEPÇÃO EXTERNA DELECOR
*** MIGRACAO (SR/DPF/ES)-> DELEGACIA DE PREV. E REPRESSAO A CRIMES FAZENDARIOS -> SALA-007 SALA DE VIATURAS
DEPOSITO DO NUTRAN NUMAT - SALA 15
DELEGADO DELEFAZ - SALA 277A
ESTRANGEIRO - DELEMIG - SALA DE ARQUIVO
DREX - SALA 374B
PASSAPORTE - DELEMIG - INFORMÁTICA - SALA 08
PASSAPORTE - DELEMIG - CHEFIA - SALA 05
SALA 15 - ALOJAMENTO
SECRETARIA SETEC - SALA 205
ESCRIVÃES DELECOR - SALA 106
DELEGADO DELEFAZ - SALA 275A
ESTRANGEIRO - DELEMIG - RECEPÇÃO
PRÉ - ATENDIMENTO
DELECOR - ANALISE 05 DO CRIS - SALA 369E
DELEPAT - ANALISE 06 DO CRIS - SALA 369F
DELEGADO DELEFAZ - SALA 279A
DELEGADO E ESCRIVÃO DMA - SALA 211B
FICCO - SALA 251 B
CONFREG - CONFORMIDADE DOS REGISTROS DE GESTÃO GAB - SALA 310
*** MIGRACAO (SR/DPF/ES)-> BENS A DISTRIBUIR -> NOVOS P/ SR
DELEFAZ - ANALISE 01 DO CRIS - SALA 369A
GALERIA NO CORREDOR SELOG - SALA 142
BANHEIRO EXTERNO FEMININO
SALA DE ARMAS DO NEPOM 
SEAT - TELECENTRO I GAB - SALA 245
ANALISE 04 DO CRIS - SALA 369D
CARTÓRIO DELEPREV - SALA 250B
ANALISE 02 DO CRIS - SALA 369B
CHEFIA DO NUTRAN NAD - SALA 26
UIGE - UNIDADE INTEGRADA GESTÃO ESTRATÉGICA GAB - SALA 371
SETOR OPERACIONAL - SALA 257H
GID - AFIS - SALA 227
RECEPÇÃO
*** MIGRACAO (SR/DPF/ES)-> DELEGACIA DE POLICIA DE IMIGRA&#65533;ÞO -> SALA-016 SETOR DE CAUTELAS
SALA DE VIATURAS SELOG
STAND DE TIRO - SALA 01
CASA - SALA 09
NUPROC - SALA 27
*** MIGRACAO (SR/DPF/ES)-> DELEGACIA ESPECIAL DE POL²CIA MAR²TIMA -> SALA-008 NUCLEO ADMINISTRATIVO
NUCLEO DE OPERAÇÕES - SALA 14/19
CASA - SALA 01
OITIVAS NUPROC - SALA 12/29
CHEFE SUBSTITUTO DELEMIG 
SALA DE VIATURAS NID
SALA DE VIATURAS SIP
SALA DE VIATURAS DA DPF/SMT
GABINETE DELDIA DREX - SALA 135
DRE - ANALISE 04 DO CRIS - SALA 369D
AEROPORTO - SALA DE EMBARQUE DELEMIG
GUARITA SMT
SALA DE VIATURAS DO NUPROC
SALA DE VIATURA DO FICCO
SALA VIATURAS DA DELESP
SALA DE VIATURAS DELECOR
*** MIGRACAO (SR/DPF/ES)-> DELEGACIA DE PREVENCAO E REPRESSAO A ENTORPECENTES -> SALA-002 PRAIA DO CANTO
SALA 09A/01A - GABINETE DA CHEFIA
SALA DE RACKS NTI - SALA 236
SOLÁRIO SELOG
DELEGADO E ESCRIVÃO DELEFAZ - SALA 276
MIGRAÇÃO NPA - SALA 07 E 34
DELEGADO E ESCRIVÃO DELEFAZ - SALA 279
CENTRO DE CONVIVÊNCIA 1 ANDAR SELOG - SALA 140
MANUTENÇÃO NAD - SALA 138
*** MIGRACAO (SR/DPF/ES)-> DELEGACIA DE POLICIA DE IMIGRA&#65533;ÞO -> SALA-015 SALA DE VIATURAS
SALA DE VIATURAS DA DELEAQ
SALA DE VIATURAS SGP
APOIO II DREX - SALA 247
SALA DE VIATURAS DO NEPOM
ESQUADRÃO AMTIBOMBAS - VAN
BENS TRANSFERIDOS A SEREM LOCALIZADOS
SALA 30 - GABINETE 02 DELEGADO
PASSAPORTE - DELEMIG - SALA DE REPOUSO
NEPOM - NFTI - SALA 119
ANÁLISE 05 DO CRIS - SALA 369E
CASA - SALA 07
SALA 01 - PLANTÃO
"CONTROLE DE ARMAS, PRODUTOS QUÍMICOS E SEGURANÇA NPA"
PASSAPORTE - DELEMIG - BANHEIRO FEMININO
DELEMIG SALA DE VIATURAS
SALA DE VIATURAS DELECIBER
SALA DE VIATURAS DO CANIL
SALA DE VIATURAS DRPJ
ESTRANGEIRO - DELEMIG - SALA NTI
FOLHA SGP - SALA 376
ESTRANGEIRO - DELEMIG - SALA DE REUNIÃO
GABINETE 1
DELECOR - ANALISE 03 DO CRIS - SALA 369C
NFTI - SALA 119
CORREDOR DA DPF/CIT PLANTÃO
GABINETE DELEPAT - SALA 102A
GERÊNCIA DRPJ - SALA 368
SALA 00 - RECEPÇÃO
SALA 32 - GABINETE 03 DELEGADO
SALA 28 - GABINETE 01 DELEGADO
CHEFIA NO - SALA 13/14A
*** MIGRACAO (SR/DPF/ES) -> NUCLEO DE TECNOLOGIA DA INFORMA&#65533;ÞO
GABINETE NUMAT - SALA 307
SALA 17 - VESTIÁRIO MANUTENÇÃO
SALA 08/31 - AUDITÓRIO
SALA 01C - ALOJAMENTO DO PLANTÃO
SALA DE VIATURAS NTI 
COZINHA DO REFEITÓRIO SELOG - SALA 146
REFEITÓRIO DO PLANTÃO - SALA 136
CHEFIA DA DELEFAZ - SALA 273A  
CTO - ACADEMIA ESPORTIVA - 1ANDAR
ESTRANGEIRO - DELEMIG - COZINHA
