DESFAZIMENTO
SALA 08 - GABINETE IV - DPF/JNE/CE
ATENDIMENTO CV/SINARM/QUIMICOS
ANEXO/CHEFIA CARTÓRIO - SALA 036
SALA 017 - CARTÓRIO 05 - DPF/JNE/CE
SALA 200 GTED MANUTENÇÃO
SECRETARIA DE GABINETE
CARTÓRIO
GABINETE Nº 03
PASSAPORTE - SALA 15
SALA 030 - ANALISE NO -DPF/JNE/CE
SALA 05 - GABINETE I - DPF/JNE/CE
SALA 096 - BALANÇAS/SETEC
SALA 20 - LABORATÓRIO DE DOCUMENTOSCOPIA
SALA S/N - NRE/IGUATEMI/DELEMIG
SALA 187 - SETEC
NEPOM VEICULOS
UTRAN - VIATURAS
SALA 02 - REPOUSO PLANTÃO - DPF/JNE/CE
SALA 117 - CHEFIA/NTI
SALA S/N - DEPÓSITO INFORMÁTICA 
SALA 026 SIP - ENTRADA/CORREDOR
PLANTÃO
SERVIÇO DE ATENDIMENTO MÉDICO
NÚCLEO DE TRANSPORTE - VEÍCULOS/NUTRAN/SELOG
VIATURAS PARA LEILÃO
NUTRAN - VIATURAS
SALA SN - GRUPO DE PRONTA INTERVENÇÃO GPI/NEPOM/DREX 5214 - ARMAMENTOS
SALA 25 NID  IGUATEMI
CHEFIA - NÚCLEO OPERACIONAL
SALA 275 FORÇA-TAREFA
SALA 135 - ASSESSORIA DE IMPRENSA - CS/GAB
SALA 080 - DELINST
SALA 126 - CHEFIA/NUCOR
SALA 127 - GRUPO DE CAPTURAS/GCAP
SALA 014 - CARTÓRIO 02 -DPF/JNE/CE
UTEC
SALA 08 - NÚCLEO DE ANÁLISE/DELEPREV
NO/DREX VEICULOS
TELEMATICA
SALA 072 - GABINETE/DRPJ
SALA 034 - LABORATÓRIO PAPILOSCOPIA -DPF/JNE/CE
SALA 018 - CARTÓRIO Nº 06 - DPF/JNE/CE
UFC DOAÇÃO
SALA 017 - DELEGACIA 05/DELEPREV
SN - SUB-CHEFIA/SELOG
SALA 019 - COPA NEPOM
SALA 078 - DELINST1
DEPÓSITO UTRAN
SALA 049 - DELEFAZ
ESTRANGEIROS - IMIGRAÇÃO - SALA 14
SALA 05 - GAB 04/DELEPREV
SALA 219 - NÚCLEO DE ANÁLISE/DELEMIG
SALA 047 - DELEGACIA 07/DELECOR
SALA 03 - GAB 02/DELEPREV  
CV/SINARM/QUIMICOS - SALA 18
DEPÓSITO DE MATERIAL OPERACIONAL
GABINETE Nº 04
SALA 027 - UID -DPF/JNE/CE
SALA 149 - SEC 2/COR/SR/PF/CE
DELEFAZ VIATURAS
SALA 143 - CHEFIA NUCOR/COR/SR/PF/CE
SALA 192 - DEPOSITO/NUCART
ADMINISTRAÇÃO DE EDFICIO
COPA BANCO CENTRAL
SAED PERSIANAS
SALA 035 - DELEGACIA 04/DELEFAZ
SALA 11 - CARTÓRIO/DMA/BANCO CENTRAL
SALA 144 NUCOR/COR/SR/PF/CE
SALA 092 - COPA/SETEC
VEÍCULOS - DELECIBER
DELINST VEICULOS
DELEMIG VIATURAS
SIP VIATURAS
DELEPAT VEICULOS
DELEPREV VIATURAS
DELECOR VIATURAS
SAED - TÉRREO
DEPÓSITO MATERIAL APREENDIDO
DESCANSO PLANTÃO
SALÃO MULTIUSO
SALA 183 -A - REFEITORIO CONSERVADORIA
SALA 020 - DEPÓSITO CARTÓRIO 01 -DPF/JNE/CE
SALA 139 - REPOUSO FEMININO
MINI COPA 2º ANDAR
MINI COPA 1º ANDAR
SETEC VEICULOS
SALA 007 - FICCO
SALA 04 - GAB 03/DELEPREV
SALA 14 - NA/DMA/BANCO CENTRAL
SALA 12 REUNIÃO DMA BANCO CENTRAL
SALA 121 - SERVIÇO DE ASSISTÊNCIA SOCIAL
NTI DEPOSITO NUMAT
SALA DE OITIVAS
DESCANSO NOIP UID
SALA 144 - SALA - COR
SALA 223 - GAB/CHEFIA/DELINST
SALA 227 - CARTORIO/DELINST
ALOJAMENTO PRAIA DO FUTURO
SALA 002 - SALA DE REPOUSO GABINETE/SR
SALA 059 - SALA DE RECEPÇÃO/DRE
SALA 021 DML
SALA 09 - BANCO CENTRAL
DEPÓSITO PROVISÓRIO
SALA DE REUNIÃO
SALA S/N - GCAP VEICULOS
SAED BANCO CENTRALDELEPREV
SALA S/N - SALA TÉCNICA DELECIBER/CAIXA
SALA 032 - UIP -DPF/JNE/CE
GRUPO ESPECIAL DE INVESTIGAÇÕES SENSÍVEIS /GISE
SALA 020 - COR
SALA 029 - CHEFIA NO - DPF/JNE/CE
GTED JNE
SALA 031 - NOIP -DPF/JNE/CE
SALA 07 GAB III - DPF SUBSTº-DPF/JNE/CE
SALA 043 APOIO NUTEL -DPF/JZN/CE
SALA 131 - OAB
RECOLHIM. BENS T.I. INSERVÍVEIS DPF/JNE
SAED COBERTURA ESTACIONAMENTO
SALA S/N - UA/DPF/JNE/CE
SALA 046 - SALA 04 SINARM/PRODUTOS QUÍMICOS-DPF/JNE/CE
SALA 11 - ENTREGA DE PASSAPORTE/IGUATEMI/DELEMIG
DELEGACIA DE REPRESSÃO A CRIMES CIBERNÉTICOS
SALA 025 - TI - DPF/JNE/CE
DELESP VEICULOS
SALA 021- SECRETARIA /SIP
SALA 30 - NO/DELECOR
VIATURAS SELOG
DELEAQ VEICULOS
DMA VEICULOS
SALA 016 - CARTÓRIO 04 - JOELMIR-DPF/JNE/CE
SAED - 1° ANDAR
SAED - 2° ANDAR
COPA IGUATEMI
DRPJ VEICULOS
VEICULOS
NID VIATURAS
SALA 038 - DEPÓSITO UTEC - DPF/JNE/CE
HALL - PLANTÃO DPF/JNE/CE
DPF/JNE - VEICULOS UTRAN
FICCO VEÍCULOS
ARMAMENTO - DPF/JZN/CE
