SALA SS21 ALMOXARIFADO
SALA 436 CORREGEDORIA
SALA 429 GAB/DREX
DPF/PAT/PB GAB 4
SALA 115 PERICIAS DE INFORMATICA/SETEC
SALA 211 CHEFIA DELEMAPH
DPF/PAT/PB TRANSPORTE
SETOR DE ESTRANGEIRO - DELEMIG
CORREDOR 3 ANDAR 
SETEC - SECRETARIA
DPF/CGE/PB GAB 15
GID/DREX/SR/DPF/PB
SALA GUICHES DE EMBARQUE AEROPORTO
CHEFIA DELECOR
DEPOSITO DE LAVEM DE VEICULO PATIO SR
DPF/PAT/PB ARMAS
SALA 224 DPF DELEFAZ
SETEC LABORATÓRIO DE INFORMÁTICA E GEOPROCESSAMENTO
CORREDOR 2 ANDAR
AEROPORTO DELEMIG/DREX
DELEAQ/DROCR/SR/PF/PB
SALA PASSAPORTE - SHOPING
SALA 01 - GAB/CHEFIA/DPF/PAT/PB
NAD/SELOG/SR/DPF/PB ANTIGO MIGRACAO A DISTRIBUIR SISTEMA SMP
SALA 331
SALA 011 - CHEFIA DELEAQ
SETEC REAGENTES - LABORATÓRIO
SALA 109 PERICIAS DE MEIO AMBIENTE/SETEC
NUDIS/GAB/COR/SR/DPF/PB
038 - COPA TERREO
GABINETE 21
SALA 127 - NUCOR
SALA 06 - PROTOCOLO GAB/DPF/PAT/PB
ACADEMIA
SALA SS13 SUPORTE NTI
SALA 131 - CHEFIA NUCOR
GABINETE 18
SALA 16 - NTI - INTERNO
GABINETE 17
SALA A105 LAB LAFIN
NPA - DPF-PATOS-PB
B05 - VESTUARIO FEMININO 
COPA DELEMIG SHOPING/MANAIRA
SECRETÁRIA DREX 4º ANDAR
SALA 014 - ARMAS/DELEAQ
PERICIA GP/CONT
SALA 232 - NO DELEPREV
FICCO - NÚCLEO DE ANÁLISE
FICCO - CHEFIA
GABINETE 19
COMUNICAÇÃO SOCIAL/GABINETE/SR/DPF/PB
SRH/TELECENTRO/SR/DPF/PB
A006 - SOM E IMAGEM AUDITORIO
DPF/CGE/PB GID
SETEC PERÍCIAS DE BALÍSTICA - LABORATÓRIO
GAB PREFEITURA
PASSAPORTE/PAT
GABINETE 20 
SALA 110 PERICIAS CONTABEIS E FINANCEIRAS/SETEC
SALA 217 NO/DELEFAZ
SALA 229 - NO DELINST
SALA 409 LICITAÇÕES
SALA 415 GESCON
AUDITÓRIO
SALA 209 - ANALISE DRE
SALA 032 - GPI
 (128 )SALA 128 NO/DREX - NO/DREX/SR/PF/PB (2123) 
 (427 )SALA 427 SECRETARIA GERAL/GAB - SR/PF/PB (2115) 
DRE/ANALISE SL 312
SALA 030 - DELEGACIA DE DIA
NTI/SR/DPF/PB/SALA 237/INTEGRAPOL
CHEFIA DELEPAT
SALA 233 - CARTÓRIO DELISNT
GUARITA 2 FUNDOS
SALA 215 CHEFIA/DELEFAZ
FICCO - COPA
SALA SS11 DEPOSITO NUCART
SALA 132 - CHEFIA NUDIS
SALA 420 CHEFIA SRH
CORREDOR 1º ANDAR
CORREDOR PLANTAO 
SALA 010 - PROTOCOLO
DELEPREV/GAB/DREX/SR/DPF/PB
A111 - NID
A104 - NID CHEFIA
GUICHES DESEMBARQUE AEROPORTO
NUPROM-DELEMIG/DREX/SR/DPF/PB
NO-DELEMIG/DREX/SR/DPF/PB
CORREDOR INTERNO/GAB/PATOS
SALA 410 NTI SUPORTE
SALA 327 OPER/ANALISE/DELECOR
SALA 114 PERICIAS DE ENGENHARIA/SETEC
DREX/CHEFIA/SR/DPF/PB
GINQ/DRCOR/SR/PF/PB (SALA 312)
NEPOM - PORTUÁRIO DE JP
BENS PARA DOAÇÃO (INVENTÁRIO)
NUCLEO DE OPERAÇÕES SALA 23
A117 - SETEC LABORATORIO
SALA 21A - DELDIA
SETEC PERICIAS DE INFORMÁTICA - GABINETE 
SALA 231 - CHEFIA DELINST
COPA NOIP
SALA 326 NIP
SALA GPAER AEROPORTO
SALA NO/DELESP MANAIRA
SALA 411 NUMAT
SALA 335- CHEFIA DELECOR
ATENDIMENTO/DELESP MANAIRA
SALA SS05A GAT
GAB 13
SS09 - SALA GAT
SALA 201 DEPOSITO MATERIAL LIMPEZA/NAD
NUMAT - DML 101
SALA A 204 - DML ACADEMIA
NUTRAN DPF CAMPINA GRANDE
SALA SS19 NUTRAN
SELOG CHEFIA SR/DPF/PB
DELEMAPH/GAB/DREX/SR/PB
DEP. CART. TÉRREO A020
SALA 213 GAB/DELEFAZ
A108 - NID PERICIA DE IDENTIFICAÇÃO HUMANA
SALA 433 SECRETARIA DRCOR
COPA 3 ANDAR
SALA 129 CHEFIA/NO DREX
SALA 216 CART/DELEFAZ
SS03- DEPOSITO DELESP
NUTRAN DPF/PATOS
SALA 208 CHEFIA DRE
SALA 017 - DELEAQ
GPAER-CHEFIA
SALA 228 - NO DMA
SALA 413 NEOF
SALA 025 PLANTÃO
CONFREG/GAB/SR/PF/PB
SALA 332 GAB/DELECOR
SALA 313 - DELECIBER
SALA 130 - COR SECRETÁRIA
CARTÓRIO
SECRETARIA GERAL - RECPÇÃO GAB/SR/PF/PB
DPF/CGE/PB CORREDOR
FICCO - CARTORIO
NID - PROJETO POLÍCIA CIVIL
SALA 311 ANALISE/DRE
SALA 232 - DELECIBER
SALA 108 PERICIAS CONTÁBEIS E FINANCEIRAS
SALA 009 - DELEAQ
SALA 432 GABINETE/SR
SALA 329 CHEFIA/SIP
SALA 107 PERICIAS DE MEIO AMBIENTE
SETEC PERÍCIAS DOCUMENTOSCÓPIA-GABINETE
SALA 121 PERICIAS DE INFORMATICA/SETEC
SALA 119 PERICIAS DE INFORMATICA/SETEC
SALA 234 - CHEFIA DELEPREV
TÉRREO RECEPÇÃO GERAL/SR
SALA 333 - CHEFIA DELESP
SALA 418 CHEFIA SELOG
CORREDOR TERREO
DEPOSITO NUMAT GARAGEM SUB SOLO
GRUPO DE PRONTA INTERVENÇÃO - GPI
21 -SALA TÉCNICA TERRÉO
DELEFAZ 216-A
COPA 4 ANDAR
SALA B 02 - REFEITÓRIO
SALA 214 GAB/DELEFAZ
SALA 434 SECRETARIA COR
SALA 223 CART/DELEFAZ
SALA 417 SECRETARIA SELOG
SALA 416 - NÚCLEO DE PAGAMENTO/SRH/SELOG
RECEPÇÃO TERRÉO
SALA 311 BAN/DELEPAT
SALA 307 DELEPAT
SALA 315 ANALISE/DELEFAZ
SALA 425 GTED/GAB
NUCLEO DE OPERAÇÕES/DPF/PATOS
DELEMIG/DREX/SR/DPF/PB/SHOPPING MANAIRA
011 SALA OAB
SALA 412 CHEFIA NTI
SALA A007 - NEPOM
337- CHEFIA DELECOR
SALA 228 - CHEFIA DELECIBER
SALA ATENDIMENTO/DELEMIG
SALA SUBSOLO 15
SALA A017 SALA VIP/CS/SR
SALA 230 NO/DELINST
SALA 308 - DELEPAT
SALA C02 - ESCRITORIO MANUTEÇÃO DE AR
SALA A020 - CENTRAL DE CUSTÓDIA DE VESTÍGIOS
SALA 212 NO/DRE
SALA 229 CHEFIA DELINST
AEROPORTO CAMPINA GRANDE
SALA 333 - DELECOR
SALA 227 - CHEFIA DELEPREV
SALA A015 COPA/SELOG
SALA 338 CARTÓRIO/DELECOR (02)
ANÁLISE DELEPAT
ANÁLISE DELECOR
SUPERINTENDÊNCIA REGIONAL DE POLÍCIA FEDERAL NA PARAÍBA  - SR/PF/PB
SALA 313 ANALISE/DELEPAT
SALA 314
CORREDOR 4º ANDAR - NAD/SELOG/SR/PF/PB
CORREDOR ANEXO SETEC
SALA A 201 - ACADEMIA
A007 - FORÇA TAREFA
SALA 225 CART/DELINST-DELEPAT
SALA A003 AUDITORIO/SR/PB
A118 - ALMOXARIFADO
GPAER - EMIGRAÇÃO/IMIGRAÇÃO
SALA 232 CHEFIA NUCOR
UAQ SALA 29
ALOJAMENTO1 GPAER AEROPORTO
SALA 025- PLANTÃO/DREX
SALA 426 SALA DE REUNIÃO GAB/SR
SALA 416 NAD/SRH
GARAGEM SUBSOLO
323 - SALA TÉCNICA 3º ANDAR
ELEVADORES
CORREDOR ANEXO 2 TÉRREO/AUDITÓRIO
422 - SALA TÉCNICA 4º ANDAR
SALA 028 CUSTODIA
SALA 020 - QUADROS ELÉTRICOS
SALA 421 - QUADROS ELETRICOS
SALA 122 - QUADROS ELÉTRICOS
219 - SALA TÉCNICA 2º ANDAR
SALA 231 SECRETARIA NUCOR
SALA 227 NO/DELEPAT
FICCO - SALA DE REUNIAO
DML 3º ANDAR
SALA A203
SALA A 206 - VESTUARIO FEMININO ACADEMIA
SALA A 202 - VESTUARIO MASCULINO ACADEMIA
SALA 23 ALOJAMENTO DRCOR
PERICIA VEICULAR - PATIO SR
SALA 228 CHEFIA DELEPAT
GPAER-PLANTÃO
SALA 307 ALOJAM/FEM/SIP/SR
ALOJAMENTO2 GPAER AEROPORTO
SALA COPA - DELESP - MANAIRA
SALA 110A LABORATORIO INFORMATICA
SALA 210 CARTORIO/DRE
SALA 233 CHEFIA NUDIS
NO ANEXO - DPF PATOS
SALA TECNICA SUBSOLO
SALA 317- DRCC
