SALA CHURRASQUEIRA
SALA A17
012A/DELEMAPH/DRCOR/SR/PF/DF
SALA DEPOSITO/UAIN/SELOG
SALA 149 SETEC/SR/DPF/DF
GUARITA FRENTE/DREX
SALA 138A/B-DELEFAZ
*** MIGRACAO (SR/DPF/DF)-> NUCLEO DE CARTORIO -> CHEFE
SEC/COR/SR/PF/DF
DRCOR - SL 222
CORREDOR 2 ANDAR
SALA B136
SALA 5 DELEMAPH
COPA DRE
BIOPSICOSSOCIAL 02
NO-DREX/DF
NIP/DF
PABX
 NO/DREX/SR/DPF/DF
SIP - SL 5
UTRAN - SALA VEICULOS
DEPOSITO DE VEICULOS
SALA VEICULOS
*** MIGRACAO (SR/DPF/DF)-> DEL. DE REPRESSAO A CRIMES CONTRA O PATRIMONIO -> NO/DELEPAT
SALA 232 - DELECOR/DRCOR/SR/PF/DF (DELEFIN)  
SALA VIP AEROPORTO/DELEMIG/DREX/SR/DPF/DF
CORREDOR 2 ANDAR - DELECOR
CORREDOR 2 ANDAR ALA B
DREX/SECRETARIA-SALA 101 B
SALA DA CHEFIA
LABEX/SETEC SL D112
SALA 239A/B-DELEFAZ
MATERIAL NÃO ENCONTRADO/FAZENDÁRIA
SIP - SL 1
DREX
GUICHES DESEMBARQUE
COR/DF
SALA 129 A/B-DELEFAZ
DRCOR/GABINETE-SL 220
NUMAT-DEPÓSITO DSG
PLANTÃO/DELDIA/ALOJAMENTO/COPA
NAT - ARMAS - PAIOL
BASE LUZIANIA
DELEPREV-SALA 130
DELINST-SALA 012A
AREA EXTERNA
SALA B126
SALA 8 DELECOR
GAB/DELEMAPH/DRCOR/SR/PF/DF
UAIN - SL 033
SALA 135 CHEFIA/GRCC
SALA C55
TERMINAL EXECUTIVO
DEAIN/ARQUIVO DEPÓSITO-SL 007
GUICHES EMBARQUE
SALA 137 NO/GRCC 
GUARITA FRENTE/DREX1
PASSAPORTE
DELEMIG/NA HORA TAGUATINGA
SALA 203B DELEFAZ
SALA 152 SETEC/SR/DPF/DF
SALA 143
SALA 228 - NO/DELECOR/DRCOR/SR/PF/DF
CORREDOR 2 ANDAR - DELEPREV
NSD/DREX/SR/PF/DF
NUCART-SL 16
SALA 029 - PROTOCOLO/NUMAT/SR/DF
ESCRITÓRIO1/NID/DREX/SR/PF/DF
DELEMIG/NO
GABINETE/DELEPREV-SALA 128
SALA VEÍCULOS
SALA 11 A-DELINST
SALA 227 - CHEFIA/DELECOR/DRCOR/SR/PF/DF
SEC2/DELECOR
DRCOR - SL 124
ARQUIVO/SR/DF
SALA 134A/B DELEFAZ/DREX/SR/DPF/DF
SALA 157 SETEC/SR/DPF/DF
SALA 226 - DELECOR/DRCOR/SR/PF/DF - GAB 2
SALA 125 NA/DELEPREV/SR/PF/DF
CORREDOR 1 ANDAR - DREX-GAB
NTI-DF
PÁTIO/NUPROC
GAB/SR/DF
SALA 6 DELEMAPH
SALA 214A/B DELEFAZ/DREX/SR/DPF/DF
DEAIN/SALA DE APOIO ADMINISTRATIVO
DELEINQUE - SL S/N
NODELEINQUE/DRCOR/SR/PF/DF
DELECOR/DRCOR/SR/PF/DF
SETEC SALA COFRE LOCALIZADA NA DTI
NTI/SR/DF
DEAIN/ALOJAMENTOS
LABORATÓRIO/NID/DREX/SR/PF/DF
TERREO
DRCOR - SL 147
SALA GAB/SR
FISCON SALA 017
DRCOR
SALA 232 NA/DELEPAT
AREA EXTERNA/ESTACIONAMENTO
SALA B34 - CPD VEÍCULOS
COPA/SETEC-DITEC - SL S/N
NTI SALA COFRE LOCALIZADA NA DTI
ESTACIONAMENTO - NUTRAN
