SALA DOAÇÃO/NUMAT/SELOG/SR/PF/BA
SALA 27/28 GAB CHEFE/DPF/PSO/BA
SALAS 03/04/05/ 06/07/08 NUCLEO DE OPERAÇÕES/PSO/BA
NUCLEO ADMINISTRATIVO/NAD/DPF/BRA/BA
429 GPEMA-PERITOS
CHEFE SUBSTITUTO/DELEPAT/DRCOR/SR/PF/BA
SALA 235
NUCLEO DE ANÁLISE/DELECOR/DRPJ/SR/PF/BA
PASTA PARA DOAÇÃO DA POLICIA MILITAR-NAD/DPF/ILS/BA
SALA REC/DELEMIG/SR/PF/BA
CHEFIA/DELEPREV
SALA 07/UIP/DPF/PSO
BENS A LOCALIZAR/JZO/PF/BA
ATENDIMENTO/SINARME/DELEAQ/DREX/SR/PF/BA
PAV2 - SALA 228 - PLANTAO
SALA GUARITA/DPF/JZO
ANEXO DA SALA NUCART/DF/JZO/BA
CARTÒRIO CHEFIA NUCART/DPF/JZO/BA
RECOLHIMENTO INFORMÁTICA/DPF/BRA/BA
1577/BENS NÃO INVENTARIADOS/COR/SR/DPF/BA
NÚCLEO TÉCNICA CIENTIFICA/NUTEC/DPF/JZO/BA
SALA PRODUTOS QUIMICOS/DELEAQ/SR/PF/BA
PAV1-SALA 112-COMPLEXO DEPÓSITO
PAV3/COPA/DELECOR/DRPJ/SR/PF/BA
 PROTOCOLO 
SALA CV/TÉRREO/SINARM/DELEAQ
1584/SALA GBE/SETEC/SR/DPF/BA
PAV1/SALA 103/NID/DREX/SR/PF/BA
426 GPBAL-LABORATÓRIO
SALA 212 - SGP
SALA COPA
PAV2/SALA 216/ARQUIVO/DELEFAZ
PAV4/SALA 422/GPQUIM/LAB
425 GPDOC-LABORATÓRIO
428 GPDOC-PERITOS
421 GPQUIM-LAB. INSTRUMENTAL
BENS NÃO LOCALIZADOS PELA COMISSÃO DE INVENTÁRIO 2015
SALA 01 APOIO/NO/DREX/SR/DPF/BA
PAV3 SALA 330
SALA 01/ NUCLEO DE ANÁLISE/DR
GTED/SELOG/SR/PF/BA
SALA 03/CV/TÉRREO/SINARM/DELEAQ
SALA INFORMÁTICA/POSTO FEIRA
SALA DE DOAÇÃO CENTRO POPULAR DE INCLUSÃO SOCIAL-VDC/DPF/VDC/BA
UOP/QUIMICOS/VDC
GESTÃO DE CONTRATOS-GESCON
SALA 17/19 CARTÒRIO CHEFIA/DPF/PSO/BA
SALA COZINHA/NAD/DPF/PSO
SALA 11/CV/PQ/DPF/PSO
NAD-CHEFIA
SALA 103/DELEAQ/DREX
BENS NÃO INVENTARIADOS SUPORTE DOCUMENTAL/SELOG/SR/PF/BA
PAV1/SALA 100/NID/DREX/SR/PF/BA
444 GPAEL-LABORATÓRIO
NUMAT SALA LIMPEZA
SALA URE/DELEMIG/SR/PF/BA
NUCLEO DE MATERIAL-NUMAT/SELOG/SR/DPF/BA
COMISSÃO DE VISTORIA-CV/NPA/DPF/PSO/BA
1584-02/SECRETARIA/SETOR TÉCNICO SIENTIFICO-SETEC/SR/DPF/BA
RECOLHIMENTO INFORMATICA NAD/DPF/ILS/BA
SALA RECEPÇÃO/DPF/BRA
UTEC/DEPOSITO
XXXXXXXXXXXXXXXXXXXXXXXXXXXXX
SALA/ 01 RECOLHIMENTO MOBILIÁRIO GERAL/ETC.
SALA 21 NUCLEO ADMINISTRATIVO/PSO
SALA 26 DELEGADO LEIFSON HOLDER
BENS NÃO INVENTARIADOS DRE/CGPRE/BASE GISE
SALA 14/NUCART/03/DPF/VDC
SALA 12/UTI/DPF/ILS
DESEMBARQUE - EMBARQUE CABINE 01-02-03-NPA/DPF/PSO/BA
PLANTÃO NPA/DPF/PSO/BA
PAV 4/SALA 436/GAB/CHEFIA/SR/PF/BA
CHEFIA/NEOF/SELOG/SR/DPF/BA
GAB 4-DELECOR/DRPJ/SR/PF/BA
SALA SERVIDOR NPA/DPF/PSO/BA
RECEPÇÃO-NUMIG E PASSAPORTE-NPA/DPF/PSO/BA
SALA UMIG/CABINE 4/DPF/PSO
PASSAPORTE-NPA/DPF/PSO/BA
SALA 13 CARTORIO NUCART/DPF/PSO/BA
SALA 09 NTI-NAD/DPF/PSO/BA
SALA 5 CARTÓRIO/DPF/ILS
SALA ESCRIVÃO 3/DPF/JZO
PAV3/SALA 339/NO/DELECOR/DRPJ/SR/PF/BA
SALA DOS ADMS/SINARM/DELEAQ/DREX/SR/PF/BA
NID-IDENTIFICAÇÃO CRIMINAL
SALA 200 DRE/DRPJ
PAV3 - SALA 331 - CHEFIA
SALA GABINETE 01/DPF/BRA
CARTORIO/DELEFAZ/DRCOR/SR/DPF/BA
PAV 4/SALA 440/UCI/UGE
SALA NPAER/CABINE 08/EMBARQUE
CARTÓRIO/DELECOR/DRPJ/SR/PF/BA
SALA 25 DELEGADO TENORIO/DPF/PSO/BA
BENS NÃO INVENTARIADOS INTERPOL/DREX/SR/PF/BA
BENS NÃO INVENTARIADOS NPAER/DELEMIG/DREX/SR/DPF/BA
PAV4/SALA 411/CHEFIA/NUDIS/COR/SR/PF/BA
SAGUÃO/REUNIÃO/CONVIVÊNCIA/COPA-NAD/DPF/PSO/BA
SALA 20/DEPÓSITO/NUCART/DPF/PSO
COPA-NPA/DPF/PSO/BA
PAV1 - SALA 120A - ALMOXARIFADO
NUMAT SL LIMPEZA
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
MANUTENÇÃO/GTED
CHEFIA-NPA/DPF/PSO/BA
SALA ALMOXARIFADO/NAD/PSO
XXXXXXXXXXXXXXXXXXXXXXXXXXXX
SALA 23 SECRETÀRIA GABINETE/DPF/PSO/BA
RECOLHIMENTO MOBILIARIO GERAL-NAD/DPF/ILS/BA
SALA 16 DPF VICTOR-DPF/ILS/BA
NA/ NUCLEO DE ANALISE/DPF/PSO
SALA 10/NAD/DPF/PSO
SALA 21/SINARM/DPF/PSO
PRODUTOS QUIMICOS/PQ/NPA/DPF/PSO/BA
SALA 08 CHEFIA-NOA/DPF/PSO/BA
SALA 02/PROTOCOLO/NAD/DPF/PSO
EXTERNO GUARITA SEG
NUCART DEPOSITO
PASATA DE DOAÇÃO ASSOCIAÇÃO ABRIGO SANTA DULCE VDC/DPF/VDC/BA
APEGR-FORÇA TAREFA
1584/GPMA LABOLATORIO /SETEC/SR/DPF/BA
BENS NÃO INVENTARIADOS/NO/DELEMIG/DREX/SR/PF/BA
CHEFIA/DELEPAT
SALA PISO SUPERIOR/FICCO
SALA INTERPOL/DELEMIG/SR/PF/BA
SALA TÉRREO/FICCO
CELA 02 CUSTÓDIDREX/SR/PF/BA
SALA DOS VIGILANTES NOA/NO/DPF/PSO/BA
SALA PLANTÃO/GUARITA/DPF/VDC
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
SALA SS1/GISE/DRE/DRPJ/SR/PF/BA
NAD SALA MANUTENÇÃO
BENS NÃO INVENTARIADOS/SIP/SR/DPF/BA
SALA SAC/PASSAPORTE/NPA/DPF/ILS
 SALA DE AUDIENCIA/COR/SR/DPF/BA
SALA 10/NUPREV/NUCLÉU PREVIDENCIAVÉL- DPF/ILS/O
DRE/CGPRE/BASE GISE/CORREDOR DA VITORIA
SALA 302 BASE GISE/DRE/DRPJ/SR/PF/BA
SALA NPAER/DELEMIG/ALOJAMENTOS
1565 07/NUCLEO DE OPERAÇÕES/DELEMIG/DREX/SR/DPF/BA
SALA 01/SINARM/DELEAQ
BENS NÃO INVENTARIADOS SRH/SR/PF/BA
SALA SINARM/NPA/DPF/ILS
SALA PLANTÃO/UMIG/DPF/PSO
SALA/ 14  DPF ALCIDIO/DPF/ILS/BA
SALA ALOJAMENTO/AEROP/DPF/PSO
SALA 01/CV/TÉRREO/SINARM/DELEAQ
BENS NÃO INVENTARIADOS/PROTOCOLO/SELOG/SR/PF/BA
445 GPAEL-SALA DE PERITOS
SALA 03/POSTO FEIRA
UIP/UNIDADE DE INTELIGENCIA/DPF/VDC/BA/APF TARCIO
SALA RECEPÇÃO/POSTO FEIRA
SALA 16/NO/01/DPF/VDC
GAB 1/DPF ANA CLAUDIA/DELEFAZ/DRCOR/SR/PF/BA
SALA 02/CV/TÉRREO/SINARM/DELEAQ
SALA NPAER/DELEMIG/NTI/LIMBO
BENS NÃO INVENTARIADOS/SR/PF/BA
SALA 07 UARM-NPA/DPF/ILS/BA
SALA 18/UIP/ANÁLISE/DPF/ILS/BA
SALA 20/DRE/DPF/ILS/BA
BENS A DISTRIBUIR-NAD/DPF/ILS/BA
BENS NÃO INVENTARIADOS GESCON/SELOG/SR/PF/BA
XXXXXXXXXXXXXXXXXXXXXX
PAV3/SUBSTITUTO/DELEPREV
SALA DEPÓSITO
BENS NÃO INVENTÁRIADOS NRE DELEMIG/DREX/SR/PF/BA
SALA/11 GABINETE-CHEFIA DPF/ILS/BA
SALA 01/CHEFIA/NEPOM/DREX/SR/PF/BA
PAV4 - SALA 415 - CHEFIA
SALA GABINETE/DPF/BRA
SALA 07/SAME/DPF/ILS
NO/PLANTÃO/DPF/PSO/BA
PAV1/SALA 122/COPA/NUMAT
SAC-BARRA/DELEMIG/DREX/SR/DPF/BA
SALA NPAER/CABINE 02/DESEMBARQUE
SALA NPAER/CABINE 05/EMBARQUE
SALA CORREDOR/NUCART/DPF/PSO
SALA NPAER/CABINE 06/DESEMBARQUE
419 GPQUIM-CIRCULAÇÃO
SALA 03/PASSAPORTE/DPF/PSO
SALA UMIG/CABINE 3/DPF/PSO
BENS NÃO INVENTARIADOS SELOG CHEFIA/SELOG/SR/PF/BA
HOSPITAL MARTAGÃO GESTEIRA/NAD/SELOG/SR/PF/BA
SALA 02/CHEFIA/NUCART/DPF/VDC
SALA 18/UIP/NO/DPF/VDC
SALA 08 - GAB 05 DPF KOLBE/DPF/VDC/BA
SALA RECEPÇÃO/DPF/VDC
SALA PRINCIPAL NO VDC
COPA VDC/DPF/VDC/BA
SALA 07 GAB 04 DPF VICTOR/DPF/VDC/BA
UAISE-UNIDADE PARA ANÁLISE DPF/VDC/BA
SECRETÁRIA GAB-DPF/VDC/BA
PAV2/SALA 209/NO/NA/DELEPAT/DRPJ/SR/PF/BA
SALA 202 DRE/DRPJ
SALA 02/POSTO FEIRA
SALA DE IMIGRAÇÃO NFTI DELEMIG
PAV2 - SALA 209 - DELEPAT/DRPJ/SR/BA
NÚCLEO DE OPERAÇÕES/DELEFAZ/DRCOR/SR/DPF/BA
PAV3/NA/DELEPREV
SALA 502 BASE GISE/DRE/DRPJ/SR/PF/BA
SALA 501 BASE GISE/DRE/DRPJ/SR/PF/BA
1584-01/SALA CHEFIA/SETOR TÉCNICO CIENTIFICO/SETEC/SR/DPF/BA
1584/SALA 06 PERITOS/SETEC/SR/DPF/BA
SALA 05/GAB 02 DPF SILVEIRA/DPF/VDC/BA
SALA 12/NUCART/01/DPF/VDC
NO 01 SALA 16 NO-NÚCLEO DE OPERAÇÕES-DPF/VDC/BA
SALA 06-GAB 03 DPF RENZO-DPF/VDC/BA
SALA 19/NO/DPF/VDC
SALA PRINCIPAL-NÚCLEO DE OPERAÇÕES - NO/DPF/VDC
SALA 17/NO/02/DPF/VDC
SALA SECRETARIA/DPF/VDC
SALA 13/NUCART/02/DPF/VDC
AUDITORIO/DPF/VDC/BA
GCTEA-GROPO DE COMBATE AO TRÁFICO DE INTORPECENTE/DRE/SR/DPF/BA
SALA 06/NO/DPF/PSO
PAV1/SALA 109/GTED/SELOG/SR/PF/BA
453 GPCONT-SALA DE PERITOS
427 GPDOC-PERITOS
446 GPINF-SALA DE PERITOS
1584/SALA LABOLATORIO QUIMICO INSTRUMENTAL/SETEC/SR/DPF/BA
454 GPCONT-SALA DE PERITOS
SALA 04 EPF LEONARDO GALDINO/NUCART/DPF/JZO/BA
PAV 1/GAT/BA/SALA 110/CHEFIA
GAB 04/DPF/ORLANDO/DELEFAZ/DRCOR/SR/PF/BA
PAV 4/SALA 435/GAB/CHEFIA/SR/PF/BA
PAV2 - SALA 242
SALA DE CABEAMENTO/NTI/TÉRREO
GAB 01-DELECOR/DRPJ/SR/PF/BA
SALA 117502/ESTAGIARIOS/DELEFAZ/DRCOR/SR/PF/BA
 CHEFIA/DELEFAZ/DRCOR/SR/DPF/BA
GAB 3-DELECOR/DRPJ/SR/PF/BA
PAV2 - SALA 205 - DELECOR/DRPJ/SR/BA
PAV2 - SALA 212A CHEFIA
ANÁLISE/GAB/SIP/SR/PF/BA
SALA/ 15 DPF CAIO/DPF/ILS/BA
PAV2/SALA 230/CARTA PRECATÓRIA
SALA CHEFIA NFTI DELEMIG
UTEC/ALOJAMENTO/DPF/JZO/BA
SALA 01/UIP/DPF/PSO
SALA 203 DRE/DRPJ
PAV2/SALA 206/CARTÓRIO/DELEPAT/DRPJ/SR/PF/BA
DELECOR/DRPJ/SR/PF/BA
SALA 11B/DEP/GAB/DPF/ILS
SALA 08/DPF/EMERSON/DPF/ILS/BA
SALA COPA/NPAER/DELEMIG/SR/PF/BA
SALA DEPÓSITO/NO/DPF/BRA
NO/NUCLEO DE OPERAÇÕES/DELEPAT/DRCOR/SR/PF/BA
SALA NO/POSTO FEIRA
SALA 02/PASSAPORTE/DPF/PSO
SALA DE REUNIÃO - DPF/VDC/BA
SALA 12/DPF/PSO
NO 02 SALA 17 NÚCLEO DE OPERAÇÕES-NO/DPF/VDC/BA
SALA 15/NAD/DPF/VDC
SALA REC/CHEFIA/DELEMIG/SR/PF/BA
CHEFIA/DELEMIG/DREX/SR/DPF/BA
SALA 102/DELEAQ/DREX
PAV1/SALA 102/NID/DREX/SR/PF/BA
SALA 08/CHEFIA/NO/DPF/PSO
SALA NO1/DPF/BRA
SALA 04 GAB 01 DPF/VDC/BA
SALA NPAER/EMBARQUE/ARMADO
SALA 02- SALA DE REUNIÃO/DPF/ILS/BA
SALA 503 BASE GISE/DRE/DRPJ/SR/PF/BA
GPI/DREX/SR/PF/BA - ALOJAMENTO
SALA 4 CARTÓRIO/DPF/ILS
SALA 03 EPF JUNIOR/NUCART/DPF/JZO/BA
SALA 03/NA/NO/DPF/ILS
SALA 303 BASE GISE/DRE/DRPJ/SR/PF/BA
SALA 11 SECRETARIA-DPF/ILS/BA
UNIDADE DE ANALISE/NO/DPF/JZO/BA
SALA PLANTÃO/DELESP
PAV4/SALA 408/NUCOR/CARTÓRIO/COR/SR/PF/BA
NTI/SALA DO SERVIDOR/DPF/PSO/BA
SALA 23 SECRETARIA GABINETE-GAB/DPF/PSO/BA
SALA SUBCHEFIA
PAV3 - SALA 337 - DELECOR/DRPJ/SR/BA
SALA 23/PROTOCOLO/NAD/DPF/ILS/BA
SALA 21B/NO/DPF/ILS
PAV3 - DELINST/SALA NÚCLEO DE OPERAÇÕES
BENS NÃO LOCALIZADOS/NUCLEO DE OPERAÇÕES/DPF/PSO/BA
POLICIA CIVIL
PAV4 - SALA 404 - COR/SR/BA
POSTO-PORTO SALVADOR/DELEMIG/DREX/SR/DPF/BA
SALA DEPÓSITO/NTI/DPF/VDC
NUCART CHEFIA
PAV4/SALA 426/LAB/BALÍSTICA
NO/DREX SALA DE ARMAMENTO
BENS NÃO INVENTARIADOS CPL/SELOG/SR/PF/BA
RECOLHIMENTO/COLETES/VEICULOS/RADIOS ETC/JZO
*** MIGRACAO (SR/DPF/BA) -> DPF.B/JZO
NO/DREX PLANTÃO 
SALA POLICIAIS/SINARM/DELEAQ/DREX/SR/PF/BA
UTRAN-NAD/DPF/PSO/BA
RECOLHIMENTO/GPI/DREX/SR/PF/BA
GAT/BA- RECOLHIMENTO
BENS NÃO INVENTARIADOS/SERVIÇO SOÇIAL/GAB/SR/PF/BA
UARM/UNIDADE DE ARMAMENTO E TIRO-NPA/DPF/ILS/BA
NÚCLEO DE OPERAÇÕES/DRE/DRCOR/SR/PF/BA
XXXXXXXXXXXXX
PAV3/SALA DPF 03/DELEPREV
NO/NUCLEO DE OPERAÇÕES/DPF/BRA/BA
PAV4/SALA 426/LABORATÓRIO/GPDOC
SETOR DE TRANSPORTE/DPF/BRA/BA
UNIDADE DE TRANSPORTE-UTRAN/NAD/DPF/ILS/BA
SALA 21/COLETES E ARMAMENTOS/OUP-NO/DPF/ILS/BA
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
SALA CENTRAL/NPAER/DELEMIG/SR/PF/BA
SALA ARMARIA/NO/DPF/BRA
SALA DML/DPF/VDC
SALA CHEFIA/SINARM/DELEAQ/DREX/SR/PF/BA
SALA 01-UAMB/SETOR MÉDICO 
